sheet_row,sheet_ttspl,crm_ttspl,hardware_serial,location,warehouse_status,customer_name,inventory_status,qc_status,floor_ticket,floor_stage,current_dc,warehouse_bin,model,note
2,TTSP2956,TTSPL2956,G595WD2,Warehouse,QC Process · Diagnosis,,returned,pending,#2713,Diagnosis,,,Dell Dell Latitude E7470,Sheet ID normalized to TTSPL2956
3,TTSPL3089,TTSPL3089,PF40J5FK,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,out_stock,,,DC/26-27/0441,,Dell Lenovo Ideapad 3,
4,TTSPL4785,TTSPL4785,H4NXZH3,With customer (rented),,Sturmfrei Hospitality Pvt. Ltd,rented,out_stock,,,DC/26-27/0563,,Dell Dell Latitude 5420,
5,TTSPL4825,TTSPL4825,JGGXZH3,Warehouse,QC Process · QC1,,returned,pending,#2733,QC1,,,Dell Dell Latitude 5420,
6,TTSPL4926,TTSPL4926,PC164BK1,Warehouse,QC Process · QC1,,in_stock,pending,#2441,QC1,,,Dell Lenovo Thinkpad T480s,
7,TTSPL6444,TTSPL6444,1N114602ST,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1063,,HP Probook 440 G8,
8,TTSPL7019,TTSPL7019,8T6K3F3,Warehouse,QC Process · QC1,,replace,pending,#1843,QC1,,,Dell Dell Latitude 7420,
9,TTSPL1005,TTSPL1005,H7YCQH2,Warehouse,QC Process · Diagnosis,,returned,pending,#2926,Diagnosis,,,Dell Dell Latitude E7480,
10,TTSPL1079,TTSPL1079,H878CG2,Warehouse,QC Process · Diagnosis,,returned,pending,#2772,Diagnosis,,,Dell Dell Latitude E5470,
11,TTSPL1104,TTSPL1104,MP1H3612,Warehouse,QC Process · Diagnosis,,returned,pending,#2662,Diagnosis,,,Dell Lenovo V130,
12,TTSPL1455,TTSPL1455,5CG6420B8W,With customer (rented),,Talent Skillsvarsity Private Limited,rented,out_stock,,,DC/26-27/0585,,Dell HP Elitebook 820 G3,
13,TTSPL1479,TTSPL1479,F51RF12,Warehouse,QC Process · Body & Paint,,returned,pending,#1632,Body & Paint,DC-003656,,Dell Dell Latitude E7240,
14,TTSPL1803,TTSPL1803,H549HC2,Warehouse,QC Process · Chip Level Repair,,returned,pending,#1630,Chip Level Repair,DC-003562,,Dell Dell Latitude E5470,
15,TTSPL1815,TTSPL1815,PC09843X,Warehouse,QC Process · Diagnosis,,in_stock,pending,#2827,Diagnosis,,,Dell Lenovo Laptop Thinkpad T450,
16,TTSPL1836,TTSPL1836,5CG5425MBD,Warehouse,QC Process · Floor Manager,,returned,pending,#1965,Floor Manager,,,Dell HP Elitebook Folio 9480m,
17,TTSPL1852,TTSPL1852,5CD8232CB3,Warehouse,QC Process,,returned,pending,,,DC-000526,,Dell HP Laptop Probook 440 G5,
18,TTSPL1935,TTSPL1935,71TT5Q2,With customer (rented),,HYREKART INFRA INDIA PRIVATE LIMITED,rented,passed,,,DC/26-27/1171,,Dell Latitude 7490,
19,TTSPL1974,TTSPL1974,C6HLRV2,Warehouse,QC Process,,returned,pending,,,DC-000531,,Dell Dell Latitude 5490,
20,TTSPL2102,TTSPL2102,1KG0NF2,Warehouse,QC Process · Diagnosis,,returned,pending,#1515,Diagnosis,DC-000534,,Dell Dell Latitude 5490,
21,TTSPL2103,TTSPL2103,8861NF2,With customer (rented),,PPG ASIAN PAINTS PRIVATE LIMITED,rented,out_stock,,,DC-002140,,Dell Dell Latitude 5490,
