Ticket ID,Stage,Serial ID,TTSPL,Serial Number,Previous QC Status,Previous Inventory Status
"1237","Floor Manager","3039","TTSPL7048","9GW3SQ2","passed","in_stock"
"1241","Floor Manager","848","TTSPL2448","HBBV703","dead","scrapped"
"1251","Diagnosis","1180","TTSPL3177","GLZP7S2","dead","scrapped"
"1270","QC1","1966","TTSPL4839","2Y370J3","out_stock","returned"
"1291","QC1","2501","TTSPL6521","93PXVM3","out_stock","returned"
"1342","Floor Manager","1378","TTSPL4770","4FXWZH3","out_stock","returned"
"1343","Floor Manager","1219","TTSPL3125","PF1CYVBY","out_stock","returned"
"1345","Floor Manager","2176","TTSPL3273","B1882X2","out_stock","returned"
"1347","Assembly & Software","1181","TTSPL2055","4M51WD2","out_stock","returned"
"1350","Chip Level Repair","3368","TTSPL6424","PG02JQ94","qc_pending","in_stock"
"1352","Chip Level Repair","132","TTSPL3228","1DDZ0J3","qc_pending","in_stock"
"1353","QC1","451","TTSPL5513","5CD4438VR6","out_stock","returned"
"1354","QC1","6","TTSPL2462","D6ZHMH2","qc_pending","in_stock"
"1359","QC1","2553","TTSPL6714","40XDQ13","out_stock","returned"
"1362","Floor Manager","1122","TTSPL4759","9WZ50J3","out_stock","returned"
"1366","Floor Manager","2165","TTSPL3930","GJKVPQ2","out_stock","returned"
"1367","Floor Manager","1215","TTSPL3051","B5B48S2","out_stock","returned"
"1386","Assembly & Software","3756","TTSPL6093","5CD103JG2H","out_stock","returned"
"1389","Inventory","3644","TTSPL7022","N/A","passed","on_demo"
"1393","Floor Manager","1304","TTSPL4622","5SG2BC3","out_stock","returned"
"1394","QC1","1319","TTSPL4068","538PQ13","out_stock","returned"
"1410","QC1","1340","TTSPL4374","PC2830AM","out_stock","returned"
"1411","Floor Manager","2645","TTSPL6729","H333C63","out_stock","returned"
"1776","Chip Level Repair","2113","TTSPL3281","624JNF2","dead","scrapped"
"1779","Chip Level Repair","3001","TTSPL1115","5CG5134ZRC","dead","scrapped"
"1790","Floor Manager","1354","TTSPL4585","8JJMNQ3","dead","scrapped"
"1791","Floor Manager","1079","TTSPL4271","405ZR93","qc_pending","in_stock"
"1792","Floor Manager","62","TTSPL6928","8KN62T3","dead","scrapped"
"1818","Floor Manager","3030","TTSPL1471","BJL5N62","dead","scrapped"
"1819","Diagnosis","2900","TTSPL1953","5CG70101YW","dead","scrapped"
"1820","Diagnosis","3024","TTSPL2267","8CG4330KLZ","dead","scrapped"
"1821","Diagnosis","1303","TTSPL4445","PF2APJJA","dead","scrapped"
"1915","Floor Manager","1619","TTSPL4555","HX0B3F3","out_stock","rented"
