Type,Brand,Model No,Serial No,TTSPLID,Processor,Generation,RAM,Storage,STATUS,Location,Owner F,Rental price
"LAPTOP","HP","Elitebook Folio 9470m","CNU350B5JP","TTSPL2048","I5","3RD","-","-","Dead","WH Stock","Self",""
"LAPTOP","HP","Elitebook 840 G1","5CG50804TS","TTSPL1816","I5","4TH","-","-","L3","WH Stock","Self",""
"LAPTOP","Lenovo","Thinkpad E14","PG02SKBX","TTSPL5610","I5","11th","-","512 SSD","Dead","WH Stock","Self",""
"LAPTOP","Lenovo","THINKPAD X240","PF032FGL","TTSPL1791","I5","4TH","4","240 SSD","L3","WH Stock","Self",""
"LAPTOP","HP","Elitebook Folio 9480m","5CG4414C4D","TTSPL1026","I7","4TH","8","256 SSD","L3","WH Stock","Self",""
"LAPTOP","Lenovo","Thinkpad X-13","PC1S0L83","TTSPL3577","I5","10TH","-","-","L3","WH Stock","Self",""
"LAPTOP","Apple","Macbook Pro","FVFXK7R1HV22","TTSPL2584","-","-","8","-","Part Pending","WH Stock","Self",""
"LAPTOP","Lenovo","Thinkpad T440","PC02UB3T","TTSPL1778
","I5","4TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","Lenovo","Thinkpad T440","PF00RH4K","TTSPL1797","I5","4TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","Dell","Precision 3571 (with Nvidia T600 4 GB graphic)","CW19LL3","TTSPL4110","I7","12TH","32","512 SSD+4 gb graphic card","Not On","WH Stock","Self",""
"LAPTOP","Dell","Latitude E5470","F978CG2","TTSPL1610","I5","6TH","8","-","Not On","WH Stock","Self",""
"LAPTOP","Dell","Vostro 3478","6HNMXN2","TTSPL3921","I5","8th","16","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","HP","Elitebook Folio 1040 G1","8CG4330KP2","TTSPL4013","I5","4TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","HP","Probook 430 G3","5CD63181Y2","TTSPL1396","I7","6TH","8","240 SSD","Not On","WH Stock","Self",""
"LAPTOP","Apple","Macbook Air","H273RQX76T","TTSPL3907","M2","-","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","Apple","Macbook Air A1466","FVFX539RJ1WK","TTSPL2248","I5","-","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","HP","Probook 430 G3","5CD6329209","TTSPL1742","I5","6TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","Dell","Latitude E5470","4OB7CG2","TTSPL1602","I5","6TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","Lenovo","Thinkpad T440P","PC018ZQ2","TTSPL2064","I7","4TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","Lenovo","Yoga 260","MP182J8T","TTSPL1145","I5","6TH","8","256 SSD","Dead","WH Stock","Self",""
"LAPTOP","HP","PROBOOK 640 G5","2TK95006S2","TTSPL3558","I5","8TH","8","250 SSD","Not On","WH Stock","Self",""
"LAPTOP","Dell","Latitude E7240","564N542","TTSPL1986","I5","4TH","8","256 SSD","Board","WH Stock","Self",""
"LAPTOP","Dell","Latitude E7470","JWD5WF2","TTSPL3024","I5","6TH","8","250 SSD","Not On","WH Stock","Self",""
"LAPTOP","Dell","Latitude E7470","HW4ZQC2","TTSPL1117","I7","6TH","-","-","L3","WH Stock","Self",""
"LAPTOP","HP","Probook 430 G3","5CD646750Z","MANJTRUE1334","I5","6TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","Lenovo","Thinkpad T410","R89ED0H","","I5","1ST","8","240 SSD","Dead","WH Stock","Self",""
"LAPTOP","HP","Elitebook 840 G3","5CG6432NJV","TTSPL2135","I7","6TH","8","240 SSD","Not On","WH Stock","Self",""
"LAPTOP","Dell","Latitude E5450","BC4R9B2","TTSPL2594","I5","5TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","HP","Elitebook 1040 G8","CND12350Z4","TTSPL3994","I7","11TH","16","512 SSD","Not On","WH Stock","Self",""
"LAPTOP","HP","X360 1030 G4","5CD9448CZL","TTSPL3121","I7","8TH","16","512 SSD","Not On","WH Stock","Self",""
"LAPTOP","HP","Elitebook X360 1030 G3","5CD9203M94","TTSPLGR0122","I7","8TH","8","512 SSD","Not On","WH Stock","Self",""
"LAPTOP","Apple","Macbook Pro","FVFDQMZ2Q05D","TTSPL4294","M1","-","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","HP","Elitebook X360 1040 G8","CND12404GQ","TTSPL3980","I7","11TH","16","512 SSD","Not On","WH Stock","Self",""
"LAPTOP","Dell","Dell XPS 15 9570","54TNQQ2","TTSPL3813","I5","8TH","16","512 SSD+4 gb graphic card","Not On","WH Stock","Self",""
"LAPTOP","Dell","Latitude E7480","87LCQH2","TTSPL1035","I7","6TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","HP","Probook 430 G1","8CG4270N66","TTSPL1148","I5","4TH","8","240 SSD","Not On","WH Stock","Self",""
"LAPTOP","Avita","NS14A8","8ANA4701CC","TTSPL3922","I5","10TH","8","256 SSD","Not On","WH Stock","Self",""
"LAPTOP","Dell","Vostro 3500","GMBQGJ3","TTSPL2581","I7","11TH","4","512 SSD","Board","WH Stock","Self",""
"LAPTOP","Apple","Macbook Pro","C02PL5LBG8WN","TTSPL2587","I7","-","16","256 SSD","Part Pending","WH Stock","Self",""
"LAPTOP","HP","Elitebook 840 G5","5CG9111PG1","TTSPL3841","I5","8TH","8","256 SSD","Part Pending","WH Stock","Self",""
"LAPTOP","Dell","Latitude E5470","8Z01WD2","TTSPL2294","I5","6TH","16","256 SSD","Part Pending","WH Stock","Self",""
"LAPTOP","Dell","Latitude 7400 (Touch Screen)","GLK6N13","TTSPL3196","I7","8TH","8","256 SSD","Part Pending","WH Stock","Self",""
"LAPTOP","HP","Probook 430 G2","CND4376XK8","TTSPL2124","I5","4TH","8","256 SSD","Part Pending","WH Stock","Self",""
"LAPTOP","Lenovo","Thinkpad T440","PC04D55Z","TTSPL2599","I5","4TH","8","256 SSD","Part Pending","WH Stock","Self",""
