#,TTSPL,Serial,Customer,Rental Date,Rental DC,Return DC,Sale Date,Sale DC,Sale Price
1,TTSPL6627,5MK5QG3,RATHAM TECHNOLOGIES LLP,2026-04-14,DC-003626,RDC002089,2026-08-26,DC/26-27/1169,32000.00
2,TTSPL2864,68S8SF2,RATHAM TECHNOLOGIES LLP,2026-02-06,DC-000903,RDC002090,2026-08-26,DC/26-27/1170,32000.00
3,TTSPL3433,F4R1F63,RATHAM TECHNOLOGIES LLP,2026-02-06,DC-000910,RDC002092,2026-08-26,DC/26-27/1170,32000.00
4,TTSPL3412,9Z44ZW2,PIBIT TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-000165,RDC002110,2026-08-26,DC/26-27/1190,45000.00
5,TTSPL4070,6HVBZY2,PIBIT TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-000177,RDC002111,2026-08-26,DC/26-27/1190,45000.00
6,TTSPL4401,PF2AVEQB,PIBIT TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-000266,RDC002116,2026-08-26,DC/26-27/1190,25000.00
7,TTSPL4765,DTZ50J3,PIBIT TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-000235,RDC002113,2026-08-26,DC/26-27/1190,25000.00
8,TTSPL4775,6PTVZH3,PIBIT TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-000220,RDC002112,2026-08-26,DC/26-27/1190,28000.00
9,TTSPL5117,PG04GTGF,PIBIT TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-000262,RDC002115,2026-08-26,DC/26-27/1190,25000.00
10,TTSPL5296,PF0UUK12,PIBIT TECHNOLOGIES PRIVATE LIMITED,2026-02-06,DC-000256,RDC002114,2026-08-26,DC/26-27/1190,25000.00
11,TTSPL2264,JY5Q6H2,B M TECHNOLOGIES,2026-02-06,DC-000759,RDC001114,2026-08-24,DC/26-27/1202,14000.00
12,TTSPL2342,BMLHMH2,B M TECHNOLOGIES,2026-02-06,DC-001586,RDC001732,2026-08-24,DC/26-27/1202,14000.00
13,TTSPLGR0094,5CD7432DCR,B M TECHNOLOGIES,2026-03-06,DC-003238,"RDC001559, RDC001944",2026-08-24,DC/26-27/1200,14000.00
14,TTSPL1953,5CG70101YW,B M TECHNOLOGIES,2026-05-04,DC-003865,RDC001455,2026-08-24,DC/26-27/1198,14000.00
15,TTSPL3032,2NKPM72,B M TECHNOLOGIES,2026-02-06,DC-001056,"RDC001637, RDC001878",2026-08-24,DC/26-27/1198,14000.00
16,TTSPL2838,BPPYVF2,B M TECHNOLOGIES,2026-02-06,DC-001584,RDC001602,2026-08-24,DC/26-27/1186,14000.00
17,TTSPL3017,HCPHRC2,B M TECHNOLOGIES,2026-02-06,DC-001628,RDC001600,2026-08-24,DC/26-27/1186,14000.00
18,TTSPL2688,DL6ZMF2,Synergie Network Engineering India Pvt Ltd,2026-02-06,DC-001637,RDC002001,2026-08-17,DC/26-27/1114,21000.00
19,TTSPL4803,HV370J3,Synergie Network Engineering India Pvt Ltd,2026-02-06,DC-002422,"RDC000205, RDC001997",2026-08-17,DC/26-27/1115,35000.00
20,TTSPL4826,C1T50J3,Synergie Network Engineering India Pvt Ltd,2026-02-06,DC-002059,"RDC001030, RDC001999",2026-08-17,DC/26-27/1115,35000.00
