TTSPL,Serial,CRM Delivery Date,Sheet Delivery Date,CRM Status
"TTSPL7439","J0X68G3",2026-07-21,2026-07-20,rented
"TTSPL7536","2J7F0J3",2026-07-27,2026-07-24,rented
"TTSPL4371","GJY1HXFFQ0",2026-07-28,2026-07-16,rented
"TTSPL5224","JWCX3T97YG",2026-07-29,2026-07-24,rented
"TTSPL7539","FC41GC6JM6",2026-07-24,2026-07-23,rented
"TTSPL3979","CND1234MFT",2026-07-30,2026-07-27,rented
"TTSPL4769","8W8XZH3",2026-07-18,2026-07-02,rented
"TTSPL4825","JGGXZH3",2026-07-18,2026-07-02,rented
"TTSPL6220","7D25HK3",2026-07-18,2026-07-02,returned
"TTSPL6299","7N2K2J3",2026-07-18,2026-07-02,rented
"TTSPL6811","J7QB043",2026-07-18,2026-07-02,rented
"TTSPL6883","5CG3050JKJ",2026-07-18,2026-07-11,rented
"TTSPL4298","CND1387HBM",2026-07-18,2026-07-14,returned
"TTSPL4029","CND124038K",2026-07-18,2026-07-14,rented
"TTSPL3484","964H3F3",2026-07-18,2026-07-14,rented
"TTSPL4011","CND1234MV6",2026-07-18,2026-07-14,rented
"TTSPL6513","18PXVM3",2026-07-18,2026-07-14,rented
"TTSPL7420","DXK2GY3",(null),2026-07-29,in_transit
"TTSPL7457","9CTQ9Y3",(null),2026-07-29,in_transit
"TTSPL7459","J80R9Y3",(null),2026-07-29,in_transit
"TTSPL7392","5CG0278J6M",2026-07-09,2026-07-01,returned
"TTSPL7389","5CG0274LN0",2026-07-11,2026-07-01,returned
"TTSPL7387","5CG0278CJB",2026-07-14,2026-07-01,rented
"TTSPL7339","2TK2460D8R",2026-07-11,2026-07-12,rented
"TTSPL6575","3V2NKR3",2026-07-16,2026-07-11,rented
"TTSPL4598","7MVN3F3",2026-07-18,2026-07-14,rented
"TTSPL6809","G0BK6D3",2026-07-17,2026-07-18,rented
"TTSPL4751","D2NVZH3",2026-05-22,2026-07-30,in_transit
"TTSPL5136","5CD211D3Y5",2026-02-06,2026-07-31,in_transit
"TTSPL7460","H464BY3",2026-07-21,2026-07-20,rented
"TTSPL7462","795XGY3",2026-07-21,2026-07-20,rented
"TTSPL7537","87XY0F3",(null),2026-07-26,in_transit
"TTSPL7524","9NZH7C3",(null),2026-07-27,in_transit
"TTSPL4377","PC2830BR",2026-07-24,2026-07-13,rented
"TTSPL2454","DRSMGJ3",(null),2026-07-15,rented
"TTSPL4632","6CG08C3",(null),2026-07-26,in_transit
"TTSPL6842","5CG213208R",2026-02-06,2026-07-26,in_transit
"TTSPL2617","FVFGW75EQ05D",2026-07-14,2026-07-13,rented
"TTSPL7429","2MQ448107S",(null),2026-07-21,in_transit
"TTSPL7427","2MQ449129N",(null),2026-07-21,in_transit
"TTSPL7493","2MQ44913LS",(null),2026-07-21,in_transit
"TTSPL7494","2MQ44808GV",(null),2026-07-21,in_transit
"TTSPL7426","2MQ4480QQK",(null),2026-07-21,in_transit
"TTSPL7541","2MQ4480ZW8",(null),2026-07-28,in_transit
"TTSPL7542","2TK4420RW3",(null),2026-07-28,in_transit
"TTSPL7550","2MQ44913Q2",(null),2026-07-28,in_transit
"TTSPL5849","M3PQNV4DJX",2026-02-06,2026-07-31,in_transit
"TTSPL7190","R913GZ7R",2026-07-02,2026-07-01,rented
"TTSPL7153","R913GZEX",2026-07-02,2026-07-01,rented
"TTSPL7380","5CG0278Q0Z",2026-07-29,2026-07-28,rented
"TTSPL7543","2MQ4490GJ1",2026-07-29,2026-07-28,rented
"TTSPL1814","162QX52",2026-07-07,2026-07-02,returned
"TTSPL6664","HY23C63",2026-04-29,2026-07-11,in_transit
"TTSPL6834","5CG212DZKC",2026-06-17,2026-07-23,in_transit
"TTSPL5908","GYVKGVQ3HM",2026-07-07,2026-07-03,rented
"TTSPL4809","DYTXZH3",2026-07-07,2026-07-04,rented
"TTSPL3995","CND12350P1",2026-07-11,2026-07-12,rented
"TTSPL6231","92J0503",2026-07-18,2026-07-09,rented
"TTSPL4066","BB326Q2",2026-02-06,2026-07-01,rented
"TTSPL2103","8861NF2",2026-02-06,2026-07-01,rented
"TTSPL3263","4WQVZY2",2026-02-06,2026-07-01,rented
"TTSPL2411","F3CFXT2",2026-02-06,2026-07-01,rented
"TTSPLGR0151","1V02PQ2",2026-02-06,2026-07-01,rented
"TTSPL3509","D1B3PV2",2026-02-06,2026-07-01,rented
"TTSPL5029","1BD5NV2",2026-02-06,2026-07-01,rented
"TTSPL2133","7GQXMF2",2026-02-06,2026-07-01,rented
"TTSPL3895","DR2QHR2",2026-02-06,2026-07-01,rented
"TTSPL3934","DJG5HR2",2026-02-06,2026-07-01,rented
"TTSPL4088","1W8P563",2026-02-06,2026-07-01,rented
"TTSPL3774","J519BC3",2026-02-06,2026-07-01,rented
"TTSPL3454","4RGF0B3",2026-02-06,2026-07-01,rented
"TTSPL2452","14F87Y2",2026-03-28,2026-07-01,rented
"TTSPL3948","20XY5S2",2026-04-29,2026-07-01,rented
"TTSPL3237","5CD9468ZHF",(null),2026-07-27,in_transit
"TTSPL6974","FKQN3F3",(null),2026-07-25,in_transit
"TTSPL7491","5CG0278J5D",2026-07-29,2026-07-23,rented
"TTSPL7515","9WVZ2F3",2026-07-29,2026-07-27,rented
"TTSPL7446","C3V51J3",(null),2026-07-18,in_transit
"TTSPL7431","9G516D3",(null),2026-07-18,in_transit
"TTSPL7021","5CG4052X0X",2026-07-10,2026-07-07,rented
"TTSPL7436","76MF6G3",(null),2026-07-31,in_transit
"TTSPL7521","FTYL6J3",(null),2026-07-31,in_transit
"TTSPL7517","F8SV9K3",(null),2026-07-30,in_transit
"TTSPL7531","4W5T2F3",(null),2026-07-30,in_transit
"TTSPL7466","5CG0274CGP",2026-07-29,2026-07-28,rented
"TTSPL4727","PF2R74CA",2026-07-13,2026-07-12,rented
"TTSPL7449","FFKW6G3",2026-07-14,2026-07-13,rented
"TTSPL4601","FYC2BC3",2026-07-17,2026-07-16,in_stock
"TTSPL7476","5CG0274DV3",2026-07-22,2026-07-21,returned
"TTSPL7485","5CG0278FK8",(null),2026-07-31,in_transit
"TTSPL6293","DBP1T93",2026-07-17,2026-07-16,in_stock
"TTSPL6329","4CP1T93",2026-02-06,2026-07-17,rented
"TTSPL6638","4ND2QG3",2026-07-07,2026-07-04,rented
"TTSPL6365","24QBKR3",2026-07-07,2026-07-04,rented
"TTSPL4226","9NS0BC3",2026-02-06,2026-07-25,in_transit
"TTSPL7183","R913GZF5",2026-07-23,2026-07-03,rented
"TTSPL7357","CX450Q0YFJ",2026-07-16,2026-07-13,rented
"TTSPL2082","FVFGW781Q05D",(null),2026-07-24,in_transit
"TTSPL7391","5CG0278BQ2",(null),2026-07-25,in_transit
"TTSPL7497","5CG0274G1K",(null),2026-07-25,in_transit
"TTSPL7478","5CG0278G3Y",(null),2026-07-25,in_transit
"TTSPL7479","5CG0278L02",(null),2026-07-25,in_transit
"TTSPL7483","5CG0278MBZ",(null),2026-07-25,in_transit
"TTSPL7487","5CG0273X3S",(null),2026-07-25,in_transit
"TTSPL6276","5C93C63",2026-07-14,2026-07-13,rented
"TTSPL7387","5CG0278CJB",2026-07-14,2026-07-13,rented
"TTSPL7386","5CG0278DQJ",2026-07-14,2026-07-13,rented
"TTSPL7499","5CG0273WJ1",2026-07-24,2026-07-30,in_transit
"TTSPL7447","GLC4QN3",(null),2026-07-18,in_transit
"TTSPL3781","6BQHDB3",2026-07-10,2026-07-11,rented
"TTSPL7396","5CG0278H3Q",2026-07-30,2026-07-21,rented
"TTSPL7490","5CG0274HQ7",2026-07-29,2026-07-21,rented
"TTSPL7390","5CG0278JWM",(null),2026-07-23,in_transit
"TTSPL7397","5CG0274G3Z",(null),2026-07-23,in_transit
"TTSPL7125","G4PSVZ2",2026-07-23,2026-07-25,rented
