TTSPL,Serial,SerialId,Status,Old Delivered (IST),New Delivered,Old RentStart,New RentStart,New Delivered Timestamp,Error
"TTSPL7439","J0X68G3",8203,rented,2026-07-21,2026-07-20,2026-07-20,2026-07-20,2026-07-20T06:12:53.764Z,""
"TTSPL7536","2J7F0J3",8452,rented,2026-07-27,2026-07-24,2026-07-24,2026-07-24,2026-07-24T06:55:37.145Z,""
"TTSPL4371","GJY1HXFFQ0",2045,rented,2026-07-28,2026-07-16,2026-07-28,2026-07-16,2026-07-16T13:17:47.552Z,""
"TTSPL5224","JWCX3T97YG",2063,rented,2026-07-29,2026-07-24,2026-07-24,2026-07-24,2026-07-24T13:40:03.094Z,""
"TTSPL7539","FC41GC6JM6",8455,rented,2026-07-24,2026-07-23,2026-07-23,2026-07-23,2026-07-23T05:34:33.176Z,""
"TTSPL3979","CND1234MFT",1056,rented,2026-07-30,2026-07-27,2026-07-27,2026-07-27,2026-07-27T09:48:02.316Z,""
"TTSPL4769","8W8XZH3",569,rented,2026-07-18,2026-07-02,2026-07-01,2026-07-02,2026-07-01T20:36:14.247Z,""
"TTSPL4825","JGGXZH3",3272,rented,2026-07-18,2026-07-02,2026-07-01,2026-07-02,2026-07-01T20:36:15.783Z,""
"TTSPL6220","7D25HK3",2406,returned,2026-07-18,2026-07-02,2026-07-01,2026-07-02,2026-07-01T20:36:15.520Z,""
"TTSPL6299","7N2K2J3",2494,rented,2026-07-18,2026-07-02,2026-07-01,2026-07-02,2026-07-01T20:36:15.618Z,""
"TTSPL6811","J7QB043",1963,rented,2026-07-18,2026-07-02,2026-07-02,2026-07-02,2026-07-01T20:36:15.240Z,""
"TTSPL6883","5CG3050JKJ",1508,rented,2026-07-18,2026-07-11,2026-07-11,2026-07-11,2026-07-10T20:36:15.056Z,""
"TTSPL4298","CND1387HBM",285,returned,2026-07-18,2026-07-14,2026-07-14,2026-07-14,2026-07-13T20:36:13.718Z,""
"TTSPL4029","CND124038K",309,rented,2026-07-18,2026-07-14,2026-07-14,2026-07-14,2026-07-13T20:36:13.967Z,""
"TTSPL3484","964H3F3",65,rented,2026-07-18,2026-07-14,2026-07-14,2026-07-14,2026-07-13T20:36:13.286Z,""
"TTSPL4011","CND1234MV6",3689,rented,2026-07-18,2026-07-14,2026-07-14,2026-07-14,2026-07-13T20:36:16.058Z,""
"TTSPL6513","18PXVM3",2455,rented,2026-07-18,2026-07-14,2026-07-14,2026-07-14,2026-07-13T20:36:15.554Z,""
"TTSPL7392","5CG0278J6M",8156,returned,2026-07-09,2026-07-01,2026-07-01,2026-07-01,2026-07-01T06:55:23.869Z,""
"TTSPL7389","5CG0274LN0",8153,returned,2026-07-11,2026-07-01,(null),2026-07-01,2026-07-01T05:30:55.672Z,""
"TTSPL7387","5CG0278CJB",8150,rented,2026-07-14,2026-07-01,2026-07-13,2026-07-01,2026-07-01T07:23:22.810Z,""
"TTSPL7339","2TK2460D8R",4046,rented,2026-07-11,2026-07-12,2026-07-11,2026-07-12,2026-07-12T06:00:50.011Z,""
"TTSPL6575","3V2NKR3",3172,rented,2026-07-16,2026-07-11,2026-07-11,2026-07-11,2026-07-11T10:03:53.286Z,""
"TTSPL4598","7MVN3F3",1367,rented,2026-07-18,2026-07-14,2026-07-14,2026-07-14,2026-07-13T19:51:46.697Z,""
"TTSPL6809","G0BK6D3",1965,rented,2026-07-17,2026-07-18,2026-07-17,2026-07-18,2026-07-18T00:00:00.000Z,""
"TTSPL5136","5CD211D3Y5",179,in_transit,2026-02-06,2026-07-31,(null),2026-07-31,2026-07-31T00:00:00.000Z,""
"TTSPL7460","H464BY3",8224,rented,2026-07-21,2026-07-20,2026-07-20,2026-07-20,2026-07-20T11:46:33.835Z,""
"TTSPL7462","795XGY3",8226,rented,2026-07-21,2026-07-20,2026-07-20,2026-07-20,2026-07-20T11:46:33.824Z,""
"TTSPL7524","9NZH7C3",8440,rented,2026-07-30,2026-07-27,2026-07-30,2026-07-27,2026-07-27T14:31:09.143Z,""
"TTSPL4377","PC2830BR",3134,rented,2026-07-24,2026-07-13,2026-07-13,2026-07-13,2026-07-13T06:16:48.910Z,""
"TTSPL4632","6CG08C3",1105,rented,2026-07-30,2026-07-26,2026-07-30,2026-07-26,2026-07-26T12:41:57.933Z,""
"TTSPL6842","5CG213208R",1648,rented,2026-07-30,2026-07-26,2026-07-30,2026-07-26,2026-07-26T12:45:29.222Z,""
"TTSPL5414","5CD1321WJH",2763,rented,2026-07-29,2026-07-29,2026-07-28,2026-07-29,2026-07-29T05:59:10.562Z,""
"TTSPL2617","FVFGW75EQ05D",2088,rented,2026-07-14,2026-07-13,2026-07-13,2026-07-13,2026-07-13T07:29:28.399Z,""
"TTSPL7429","2MQ448107S",8193,rented,2026-07-30,2026-07-21,2026-07-25,2026-07-21,2026-07-21T12:09:59.764Z,""
"TTSPL7427","2MQ449129N",8191,rented,2026-07-30,2026-07-21,2026-07-25,2026-07-21,2026-07-21T12:13:56.566Z,""
"TTSPL7493","2MQ44913LS",8261,rented,2026-07-30,2026-07-21,2026-07-25,2026-07-21,2026-07-21T12:27:24.076Z,""
"TTSPL7494","2MQ44808GV",8262,rented,2026-07-30,2026-07-21,2026-07-25,2026-07-21,2026-07-21T12:08:44.030Z,""
"TTSPL7426","2MQ4480QQK",8190,rented,2026-07-30,2026-07-21,2026-07-25,2026-07-21,2026-07-21T12:26:24.785Z,""
"TTSPL7541","2MQ4480ZW8",8457,in_transit,(null),2026-07-28,(null),2026-07-28,2026-07-28T06:30:00.000Z,""
"TTSPL7542","2TK4420RW3",8458,rented,2026-07-30,2026-07-28,2026-07-28,2026-07-28,2026-07-28T11:44:55.180Z,""
"TTSPL7550","2MQ44913Q2",8566,in_transit,(null),2026-07-28,(null),2026-07-28,2026-07-28T06:30:00.000Z,""
"TTSPL5849","M3PQNV4DJX",2070,in_transit,2026-02-06,2026-07-31,(null),2026-07-31,2026-07-31T00:00:00.000Z,""
"TTSPL7190","R913GZ7R",3849,rented,2026-07-02,2026-07-01,2026-07-01,2026-07-01,2026-07-01T04:47:08.538Z,""
"TTSPL7153","R913GZEX",3812,rented,2026-07-02,2026-07-01,2026-07-01,2026-07-01,2026-07-01T04:47:08.559Z,""
"TTSPL7380","5CG0278Q0Z",8142,rented,2026-07-29,2026-07-28,2026-07-28,2026-07-28,2026-07-28T09:05:33.309Z,""
"TTSPL7543","2MQ4490GJ1",8459,rented,2026-07-29,2026-07-28,2026-07-28,2026-07-28,2026-07-28T07:04:51.868Z,""
"TTSPL1814","162QX52",771,returned,2026-07-07,2026-07-02,2026-07-02,2026-07-02,2026-07-02T09:47:13.359Z,""
"TTSPL6664","HY23C63",3473,in_transit,2026-04-29,2026-07-11,2026-07-10,2026-07-11,2026-07-11T00:00:00.000Z,""
"TTSPL6834","5CG212DZKC",2011,in_transit,2026-06-17,2026-07-23,(null),2026-07-23,2026-07-23T16:26:25.000Z,""
"TTSPL4657","66RM3F3",1483,rented,2026-07-08,2026-07-08,2026-07-07,2026-07-08,2026-07-08T10:48:47.326Z,""
"TTSPL5908","GYVKGVQ3HM",80,rented,2026-07-07,2026-07-03,2026-07-03,2026-07-03,2026-07-03T09:51:21.536Z,""
"TTSPL4809","DYTXZH3",299,rented,2026-07-07,2026-07-04,2026-07-04,2026-07-04,2026-07-04T06:52:33.659Z,""
"TTSPL3995","CND12350P1",3065,rented,2026-07-11,2026-07-12,2026-07-11,2026-07-12,2026-07-12T06:04:05.899Z,""
"TTSPL6231","92J0503",3521,rented,2026-07-18,2026-07-09,2026-07-09,2026-07-09,2026-07-08T20:36:15.801Z,""
"TTSPL4066","BB326Q2",1596,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL2103","8861NF2",1597,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL3263","4WQVZY2",1598,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL2411","F3CFXT2",1600,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPLGR0151","1V02PQ2",1601,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL3509","D1B3PV2",1602,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL5029","1BD5NV2",1604,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL2133","7GQXMF2",2201,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL3895","DR2QHR2",1605,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL3934","DJG5HR2",2202,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL4088","1W8P563",1607,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL3774","J519BC3",1608,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL3454","4RGF0B3",1609,rented,2026-02-06,2026-07-01,2026-02-06,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL2452","14F87Y2",3736,rented,2026-03-28,2026-07-01,2026-03-28,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL3948","20XY5S2",3721,rented,2026-04-29,2026-07-01,2026-04-29,2026-07-01,2026-07-01T00:00:00.000Z,""
"TTSPL3237","5CD9468ZHF",1293,rented,2026-07-30,2026-07-27,2026-07-30,2026-07-27,2026-07-27T11:57:13.082Z,""
"TTSPL7441","DMV76D3",8205,rented,2026-07-08,2026-07-08,2026-07-07,2026-07-08,2026-07-08T06:48:13.397Z,""
"TTSPL7433","4LC98G3",8197,rented,2026-07-08,2026-07-08,2026-07-07,2026-07-08,2026-07-08T06:56:12.280Z,""
"TTSPL7437","DMK98G3",8201,rented,2026-07-08,2026-07-08,2026-07-07,2026-07-08,2026-07-08T06:48:13.377Z,""
"TTSPL6974","FKQN3F3",3581,rented,2026-07-30,2026-07-25,2026-07-25,2026-07-25,2026-07-25T12:25:30.287Z,""
"TTSPL7491","5CG0278J5D",8255,rented,2026-07-29,2026-07-23,2026-07-23,2026-07-23,2026-07-23T13:34:26.298Z,""
"TTSPL7515","9WVZ2F3",8431,rented,2026-07-29,2026-07-27,2026-07-29,2026-07-27,2026-07-27T07:16:03.726Z,""
"TTSPL7446","C3V51J3",8210,in_transit,(null),2026-07-18,(null),2026-07-18,2026-07-18T06:30:00.000Z,""
"TTSPL7431","9G516D3",8195,in_transit,(null),2026-07-18,(null),2026-07-18,2026-07-18T06:30:00.000Z,""
"TTSPL7021","5CG4052X0X",3643,rented,2026-07-10,2026-07-07,2026-07-10,2026-07-07,2026-07-07T05:48:09.284Z,""
"TTSPL7436","76MF6G3",8200,in_transit,(null),2026-07-31,(null),2026-07-31,2026-07-31T06:30:00.000Z,""
"TTSPL7521","FTYL6J3",8437,in_transit,(null),2026-07-31,(null),2026-07-31,2026-07-31T06:30:00.000Z,""
"TTSPL7531","4W5T2F3",8447,rented,2026-07-30,2026-07-30,2026-07-29,2026-07-30,2026-07-30T12:18:30.573Z,""
"TTSPL7466","5CG0274CGP",8230,rented,2026-07-29,2026-07-28,2026-07-29,2026-07-28,2026-07-28T08:12:39.695Z,""
"TTSPL4727","PF2R74CA",501,rented,2026-07-13,2026-07-12,2026-07-12,2026-07-12,2026-07-12T05:30:45.077Z,""
"TTSPL7449","FFKW6G3",8213,rented,2026-07-14,2026-07-13,2026-07-13,2026-07-13,2026-07-13T07:24:55.466Z,""
"TTSPL4601","FYC2BC3",1369,in_stock,2026-07-17,2026-07-16,2026-07-16,2026-07-16,2026-07-16T04:43:02.750Z,""
"TTSPL7476","5CG0274DV3",8240,returned,2026-07-22,2026-07-21,2026-07-22,2026-07-21,2026-07-21T05:30:15.458Z,""
"TTSPL7499","5CG0273WJ1",8267,rented,2026-07-30,2026-07-24,2026-07-30,2026-07-24,2026-07-24T11:24:20.494Z,""
"TTSPL7485","5CG0278FK8",8249,in_transit,(null),2026-07-31,(null),2026-07-31,2026-07-31T06:30:00.000Z,""
"TTSPL6293","DBP1T93",2636,in_stock,2026-07-17,2026-07-16,2026-07-16,2026-07-16,2026-07-16T04:45:10.270Z,""
"TTSPL6329","4CP1T93",2468,rented,2026-02-06,2026-07-17,2026-07-08,2026-07-17,2026-07-17T00:00:00.000Z,""
"TTSPL6638","4ND2QG3",3450,rented,2026-07-07,2026-07-04,2026-07-04,2026-07-04,2026-07-04T06:53:53.988Z,""
"TTSPL4614","DV4FYD3",83,in_transit,2026-07-02,2026-07-02,2026-07-15,2026-07-02,2026-07-02T09:01:47.333Z,""
"TTSPL6365","24QBKR3",3112,rented,2026-07-07,2026-07-04,2026-07-04,2026-07-04,2026-07-04T00:00:00.000Z,""
"TTSPL4226","9NS0BC3",1454,rented,2026-07-30,2026-07-25,2026-07-25,2026-07-25,2026-07-25T12:12:31.715Z,""
"TTSPL7183","R913GZF5",3842,rented,2026-07-23,2026-07-03,2026-07-23,2026-07-03,2026-07-03T13:10:01.975Z,""
"TTSPL7357","CX450Q0YFJ",4068,rented,2026-07-16,2026-07-13,2026-07-13,2026-07-13,2026-07-13T07:07:39.063Z,""
"TTSPL2082","FVFGW781Q05D",2258,rented,2026-07-30,2026-07-24,2026-07-24,2026-07-24,2026-07-24T12:11:42.961Z,""
"TTSPL7391","5CG0278BQ2",8155,in_transit,(null),2026-07-25,(null),2026-07-25,2026-07-25T06:30:00.000Z,""
"TTSPL7497","5CG0274G1K",8265,in_transit,(null),2026-07-25,(null),2026-07-25,2026-07-25T06:30:00.000Z,""
"TTSPL7478","5CG0278G3Y",8242,in_transit,(null),2026-07-25,(null),2026-07-25,2026-07-25T06:30:00.000Z,""
"TTSPL7479","5CG0278L02",8243,in_transit,(null),2026-07-25,(null),2026-07-25,2026-07-25T06:30:00.000Z,""
"TTSPL7483","5CG0278MBZ",8247,in_transit,(null),2026-07-25,(null),2026-07-25,2026-07-25T06:30:00.000Z,""
"TTSPL7487","5CG0273X3S",8251,in_transit,(null),2026-07-25,(null),2026-07-25,2026-07-25T06:30:00.000Z,""
"TTSPL7406","5CG0278Q1C",8170,rented,2026-07-28,2026-07-28,2026-07-27,2026-07-28,2026-07-28T05:51:44.606Z,""
"TTSPL6276","5C93C63",2664,rented,2026-07-14,2026-07-13,2026-07-14,2026-07-13,2026-07-13T05:51:16.640Z,""
"TTSPL7387","5CG0278CJB",8150,rented,2026-07-14,2026-07-13,2026-07-13,2026-07-13,2026-07-13T07:23:22.810Z,""
"TTSPL7386","5CG0278DQJ",8149,rented,2026-07-14,2026-07-13,2026-07-13,2026-07-13,2026-07-13T07:23:22.824Z,""
"TTSPL7447","GLC4QN3",8211,in_transit,(null),2026-07-18,(null),2026-07-18,2026-07-18T06:30:00.000Z,""
"TTSPL3781","6BQHDB3",3161,rented,2026-07-10,2026-07-11,2026-07-10,2026-07-11,2026-07-11T14:36:27.476Z,""
"TTSPL7396","5CG0278H3Q",8160,rented,2026-07-30,2026-07-21,2026-07-21,2026-07-21,2026-07-21T04:55:54.161Z,""
"TTSPL7490","5CG0274HQ7",8254,rented,2026-07-29,2026-07-21,2026-07-21,2026-07-21,2026-07-21T13:32:25.958Z,""
"TTSPL7390","5CG0278JWM",8154,rented,2026-07-30,2026-07-23,2026-07-23,2026-07-23,2026-07-23T11:47:31.956Z,""
"TTSPL7397","5CG0274G3Z",8161,in_transit,(null),2026-07-23,(null),2026-07-23,2026-07-23T06:30:00.000Z,""
"TTSPL7125","G4PSVZ2",3784,rented,2026-07-23,2026-07-25,2026-07-23,2026-07-25,2026-07-25T12:51:13.017Z,""
"TTSPL7401","5CG0278NQ3",8165,rented,2026-07-30,2026-07-26,2026-07-26,2026-07-26,2026-07-26T12:48:25.980Z,""
"TTSPL4438","PF2APG8A",3057,rented,2026-07-11,2026-07-10,2026-07-10,2026-07-10,2026-07-10T06:28:07.049Z,""
"TTSPL5159","PF2R5QP3",509,rented,2026-07-11,2026-07-10,2026-07-10,2026-07-10,2026-07-10T06:28:07.033Z,""
"TTSPL3083","5CG21727VZ",2126,returned,2026-07-07,2026-07-05,2026-07-05,2026-07-05,2026-07-05T06:57:15.717Z,""
"TTSPL4475","KX64XPW0VW",2097,rented,2026-07-29,2026-07-24,2026-07-24,2026-07-24,2026-07-24T13:46:30.432Z,""
"TTSPL7399","5CG0274NHG",8163,rented,2026-07-06,2026-07-06,2026-07-04,2026-07-06,2026-07-06T06:39:52.664Z,""
"TTSPL6936","88R60J3",3297,sold,2026-07-09,2026-07-02,2026-07-02,2026-07-02,2026-07-02T06:11:44.557Z,""
"TTSPL6561","5CD112KFBN",2349,rented,2026-07-09,2026-07-06,2026-07-06,2026-07-06,2026-07-06T08:27:55.235Z,""
"TTSPL7236","R913GZ57",3895,rented,2026-07-09,2026-07-06,2026-07-06,2026-07-06,2026-07-06T08:27:55.229Z,""
"TTSPL7206","R913GZ7V",3865,rented,2026-07-09,2026-07-06,2026-07-06,2026-07-06,2026-07-06T08:27:55.217Z,""
"TTSPL6950","7TMT0T3",3557,rented,2026-07-10,2026-07-07,2026-07-10,2026-07-07,2026-07-07T14:35:12.667Z,""
"TTSPL3573","PC1M8P34",3734,rented,2026-07-07,2026-07-06,2026-07-06,2026-07-06,2026-07-06T06:58:43.349Z,""
"TTSPL7234","R913GZC6",3893,rented,2026-07-07,2026-07-06,2026-07-06,2026-07-06,2026-07-06T06:58:43.387Z,""
"TTSPL7172","R913EBL7",3831,rented,2026-07-07,2026-07-06,2026-07-06,2026-07-06,2026-07-06T06:58:43.374Z,""
"TTSPL6465","5373C63",2367,rented,2026-07-07,2026-07-06,2026-07-06,2026-07-06,2026-07-06T06:58:43.366Z,""
"TTSPL7115","8M2VVZ2",3774,rented,2026-07-09,2026-07-06,2026-07-06,2026-07-06,2026-07-06T08:26:50.587Z,""
"TTSPL3744","CNKCST2",1275,rented,2026-07-09,2026-07-06,2026-07-06,2026-07-06,2026-07-06T08:26:50.596Z,""
"TTSPL6656","5DQM763",3642,rented,2026-07-09,2026-07-06,2026-07-06,2026-07-06,2026-07-06T08:26:25.100Z,""
"TTSPL7123","C077YZ2",3782,in_transit,2026-07-09,2026-07-20,(null),2026-07-20,2026-07-20T06:11:44.462Z,""
"TTSPL7451","J05J6G3",8215,rented,2026-07-29,2026-07-23,2026-07-23,2026-07-23,2026-07-23T13:35:46.153Z,""
"TTSPL3946","4K2H2R2",1241,in_transit,2026-02-06,2026-07-20,(null),2026-07-20,2026-07-20T00:00:00.000Z,""
"TTSPL7502","250QZ33",8270,in_transit,(null),2026-07-23,(null),2026-07-23,2026-07-23T06:30:00.000Z,""
"TTSPL7508","6RNRZ33",8276,in_transit,(null),2026-07-23,(null),2026-07-23,2026-07-23T06:30:00.000Z,""
