serial_number,ttspl,customer,so,dc,customer_price,delivered_ist,updated_ist,brand,model
PG04FAMK,TTSPL4993,B M TECHNOLOGIES,SO/26-27/0502,DC/26-27/0526,27119.00,2026-07-09 12:28:14.95,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
PG04FGYM,TTSPL5002,B M TECHNOLOGIES,SO/26-27/0502,DC/26-27/0526,27119.00,2026-07-09 12:28:14.935,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
PG04GTFZ,TTSPL4994,B M TECHNOLOGIES,SO/26-27/0502,DC/26-27/0526,27119.00,2026-07-09 12:28:14.943,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
PG04GTK5,TTSPL5111,B M TECHNOLOGIES,SO/26-27/0502,DC/26-27/0526,27119.00,2026-07-09 12:28:14.939,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
PG04FGY5,TTSPL4990,B M TECHNOLOGIES,SO/26-27/0503,DC/26-27/0527,27119.00,2026-07-09 12:28:14.926,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
PG04FGYP,TTSPL5000,B M TECHNOLOGIES,SO/26-27/0503,DC/26-27/0527,27119.00,2026-07-09 12:28:14.923,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
PG04FH1Y,TTSPL4988,B M TECHNOLOGIES,SO/26-27/0503,DC/26-27/0527,27119.00,2026-07-09 12:28:14.92,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
PG04FH2R,TTSPL4972,B M TECHNOLOGIES,SO/26-27/0503,DC/26-27/0527,27119.00,2026-07-09 12:28:14.918,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
PF3DNCLC,TTSPL5272,B M TECHNOLOGIES,SO/26-27/0506,DC/26-27/0529,20763.00,2026-07-09 12:28:14.955,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad E14
PG02HY1Q,TTSPL6382,B M TECHNOLOGIES,SO/26-27/0506,DC/26-27/0529,20763.00,2026-07-09 12:28:14.953,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad E-14 Gen 2
