client_name_sheet,crm_customer_id,crm_customer_name,customer_match_method,source_sheet,sheet_serial,sheet_ttspl,sheet_model,sheet_per_month_rate,sheet_rent_amount,match_by,crm_serial_id,crm_serial_number,crm_ttspl,crm_monthly_rate,rate_status
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,BFT81F3,TTSPL2989,Dell Latitude 5411,1899,1899,ttspl,727,BFT81F3,TTSPL2989,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,68GR793,TTSPL2990,Dell Latitude 5411,1899,1899,ttspl,728,68GR793,TTSPL2990,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,9GLXL63,TTSPL2992,Dell Latitude 5410,1899,1899,ttspl,729,9GLXL63,TTSPL2992,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,61W7063,TTSPL2996,Dell Latitude 5410,1899,1899,ttspl,730,61W7063,TTSPL2996,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,2QKD893,TTSPL3012,Dell Latitude 5411,1899,1899,ttspl,733,2QKD893,TTSPL3012,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,DCZL473,TTSPL3013,Dell Latitude 5411,1899,1899,ttspl,734,DCZL473,TTSPL3013,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,5CD1131RYM,TTSPL2940,HP 14S-DQ2xxx,1899,1899,ttspl,2265,5CD1131RYM,TTSPL2940,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,PC1NVAXG,TTSPL3539,Lenovo Thinkpad X-13,1899,1899,ttspl,738,PC1NVAXG,TTSPL3539,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,PF25W6C1,TTSPL4402,Lenovo Thinkpad T490,2199,2199,ttspl,739,PF25W6C1,TTSPL4402,2199,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,PF2BT0AZ,TTSPL4403,Lenovo Thinkpad T490,2199,2199,ttspl,740,PF2BT0AZ,TTSPL4403,2199,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,PF2AYJZ7,TTSPL4407,Lenovo Thinkpad T490,2199,2199,ttspl,741,PF2AYJZ7,TTSPL4407,2199,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,PF2642AW,TTSPL4411,Lenovo Thinkpad T490,2199,2199,ttspl,742,PF2642AW,TTSPL4411,2199,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,PF261Z15,TTSPL4412,Lenovo Thinkpad T490,2199,2199,ttspl,743,PF261Z15,TTSPL4412,2199,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,PF2BV7ST,TTSPL4417,Lenovo Thinkpad T490,2199,2199,ttspl,744,PF2BV7ST,TTSPL4417,2199,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,687H8D3,TTSPL4500,Dell Latitude 5420,1899,1899,ttspl,745,687H8D3,TTSPL4500,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,J9TN4D3,TTSPL4562,Dell Latitude 5420,1899,1899,ttspl,746,J9TN4D3,TTSPL4562,1899,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,9L6R2F3,TTSPL4670,Dell Latitude 5420,2199,2199,ttspl,747,9L6R2F3,TTSPL4670,2199,RATE_OK
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,name,LOT,1Q370J3,TTSPL4788,Dell Latitude 5420,1899,1899,ttspl,749,1Q370J3,TTSPL4788,1899,RATE_OK
