customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet,customer_match_method,total_per_month_rate_sheet,matched_assets,unmatched_sheet_assets,crm_active_not_on_sheet,rate_match_count,rate_mismatch_count,asset_count_aligned,count_diff_sheet_minus_crm
Pibit Technologies Pvt. Ltd.,48,Pibit Technologies Private Limited,228,228,1031065.03,name,1019056,228,0,1,227,1,YES,0
FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart),94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,189,188,502076.24,name,488862,187,1,2,186,1,NO,-1
LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,90,93,355663,name,355663,91,2,0,89,2,NO,3
Kinolve Software India Pvt Ltd,965,Kinolve Software India Pvt Ltd,0,92,332021.62,name,309270,90,2,0,90,0,NO,92
RHOPHI ANALYTICS LLP,106,RHOPHI ANALYTICS LLP (Punjab),44,44,254691.74,name,243452,44,0,0,44,0,YES,0
ANTINO LABS PRIVATE LIMITED,120,ANTINO LABS PRIVATE LIMITED,66,66,250735.22,name,254074,65,1,1,65,0,YES,0
Wellbeing/NUTRITIONALAB PRIVATE LIMITED,22,NUTRITIONALAB PRIVATE LIMITED,51,51,230197.78,name,220053,51,0,0,51,0,YES,0
SLEEP MANAGEMENT PRIVATE LIMITED,41,SLEEP MANAGEMENT PRIVATE LIMITED(New),95,95,207548.35,name,203210,95,0,0,95,0,YES,0
Optimizing Resources Private Limited,29,Optimizing Resources Private Limited,106,105,176274.68,name,166662,105,0,1,105,0,NO,-1
SPNN BUSINESS SERVICES PRIVATE LIMITED,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,84,84,154843.17,name,137648,84,0,0,84,0,YES,0
G N APNA UDYOG LLP (AU Logistics)/RATHAM TECHNOLOGIES LLP,122,RATHAM TECHNOLOGIES LLP,60,59,128022.97,name,123080,59,0,1,59,0,NO,-1
Tagbin Services Pvt. Ltd,1,Tagbin Services Pvt Ltd,37,37,113167,name,113167,37,0,0,37,0,YES,0
Carrum Mobility Solutions,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,68,68,103255.48,name,101849,68,0,0,65,3,YES,0
ZYKRR TECHNOLOGIES PRIVATE LIMITED,242,ZYKRR TECHNOLOGIES PRIVATE LIMITED,37,38,99653.59,name,84962,37,1,0,37,0,NO,1
Quest Solutions Private Limited,9,Quest Solutions Private Limited,41,43,90378.45,name,93558,41,2,0,39,2,NO,2
COSMOFEED TECHNOLOGIES PRIVATE LIMITED,111,COSMOFEED TECHNOLOGIES PVT LTD,42,42,89752.45,name,89559,42,0,0,42,0,YES,0
Biodeal Pharmaceuticals Limited,183,BIODEAL PHARMACEUTICALS LIMITED,50,50,75945,name,75945,49,1,1,49,0,YES,0
Ritu David Consulting/Data Duck,88,RITU DAVID CONSULTING,13,13,74845.19,name,65588,13,0,0,13,0,YES,0
SELECTASTRO PRIVATE LIMITED,107,SelectAstro Private Limited,23,26,73579.21,name,76648,24,2,0,22,2,NO,3
Synergie Network Engineering India Pvt Ltd,25,Synergie Network Engineering India Pvt Ltd,36,36,73064,name,73064,36,0,0,36,0,YES,0
Digital Eco Innovision Private Limited,11,Digital Eco Innovision Private Limited,29,29,72069.84,name,71828,29,0,0,29,0,YES,0
Dotnova Aitech Private Limited,152,Dotnova Aitech Private Limited,16,16,71447.14,name,58287,16,0,0,16,0,YES,0
MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,6,MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,30,30,64898,name,64898,30,0,0,30,0,YES,0
