customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet
Pibit Technologies Pvt. Ltd.,48,Pibit Technologies Private Limited,228,228,1031065.03
FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart),94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,189,188,502076.24
LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,90,93,355663
Kinolve Software India Pvt Ltd,965,Kinolve Software India Pvt Ltd,0,92,332021.62
RHOPHI ANALYTICS LLP,106,RHOPHI ANALYTICS LLP (Punjab),44,44,254691.74
ANTINO LABS PRIVATE LIMITED,120,ANTINO LABS PRIVATE LIMITED,66,66,250735.22
Wellbeing/NUTRITIONALAB PRIVATE LIMITED,22,NUTRITIONALAB PRIVATE LIMITED,51,51,230197.78
SLEEP MANAGEMENT PRIVATE LIMITED,41,SLEEP MANAGEMENT PRIVATE LIMITED(New),95,95,207548.35
Optimizing Resources Private Limited,29,Optimizing Resources Private Limited,106,105,176274.68
SPNN BUSINESS SERVICES PRIVATE LIMITED,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,84,84,154843.17
G N APNA UDYOG LLP (AU Logistics)/RATHAM TECHNOLOGIES LLP,122,RATHAM TECHNOLOGIES LLP,60,59,128022.97
Tagbin Services Pvt. Ltd,1,Tagbin Services Pvt Ltd,37,37,113167
Carrum Mobility Solutions,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,68,68,103255.48
ZYKRR TECHNOLOGIES PRIVATE LIMITED,242,ZYKRR TECHNOLOGIES PRIVATE LIMITED,37,38,99653.59
Quest Solutions Private Limited,9,Quest Solutions Private Limited,41,43,90378.45
COSMOFEED TECHNOLOGIES PRIVATE LIMITED,111,COSMOFEED TECHNOLOGIES PVT LTD,42,42,89752.45
Biodeal Pharmaceuticals Limited,183,BIODEAL PHARMACEUTICALS LIMITED,50,50,75945
Ritu David Consulting/Data Duck,88,RITU DAVID CONSULTING,13,13,74845.19
SELECTASTRO PRIVATE LIMITED,107,SelectAstro Private Limited,23,26,73579.21
Synergie Network Engineering India Pvt Ltd,25,Synergie Network Engineering India Pvt Ltd,36,36,73064
Digital Eco Innovision Private Limited,11,Digital Eco Innovision Private Limited,29,29,72069.84
Dotnova Aitech Private Limited,152,Dotnova Aitech Private Limited,16,16,71447.14
MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,6,MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,30,30,64898
OEX TECH SOLUTION PVT. LTD,53,OEX TECH SOLUTION PVT. LTD,23,23,59677
RESEARCH NESTER PRIVATE LIMITED,20,Research Nester Private Limited,53,56,58476.33
Mercury Solutions Limited,26,Mercury Solutions Limited,34,34,57574.78
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,29,28,56797.16
Global Fashion Off Duty Limited,156,Global Fashion Off Duty Limited,24,24,56673.32
Tekuncorked Aiiot Private Limited,56,Tekuncorked Aiiot Private Limited,23,23,55576.81
Abjayon Consultancy Pvt. Ltd.,206,ABJAYON CONSULTANCY PRIVATE LIMITED,28,27,54952
CDBASE SOLUTIONS INDIA PRIVATE LIMITED,203,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,25,25,52475
Hostbooks limited,168,Hostbooks limited,24,24,52376
REYKLE INDIA PRIVATE LIMITED,65,REYKLE INDIA PRIVATE LIMITED,13,13,51691
Stylework Innovation Hub Pvt Ltd.,180,Stylework Innovation Hub Pvt Ltd.,23,23,50277
Techsur Solutions Private Limited/Naraharisetty Bobby B2C,90,TECHSUR INNOVATIONS PRIVATE LIMITED,14,15,49697.55
RAK FITNESS CONSUMER PRIVATE LIMITED,64,RAK Fitness Consumer Private Limited,13,13,49091
ELYSIUM LABS PRIVATE LIMITED,127,Elysium Labs Pvt Ltd,25,24,47235.61
URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,92,URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,43,42,40558
EasyRewardz Software Services Private Limited,158,EasyRewardz Software Services Private Limited,26,26,39649
DELFIN TECHNOLOGIES INDIA PRIVATE LIMITED,192,DELFIN TECHNOLOGIES INDIA PRIVATE LIMITED,9,9,37991
Easy Fix Handy Solutions India Private Limited,141,Easy Fix Handy Solutions India Private Limited,27,26,37199
BPB ONLINE LLP,47,BPB Online LLP,20,20,36578
BLUEJAY WORKTECH PRIVATE LIMITED,117,BLUEJAY WORKTECH PRIVATE LIMITED,24,24,36078
ATTITUDE EVENETS PRIVATE LIMITED,115,ATTITUDE EVENTS PRIVATE LIMITED,21,21,36066.94
Era Botanics private Limited,33,ERA BOTANICS PRIVATE LIMITED,18,17,35570.58
GRUNMECH TECHNOLOGIES PRIVATE LIMITED,23,GRUNMECH TECHNOLOGIES PRIVATE LIMITED,13,13,35087
Upila Digital,28,Upila Digital,12,12,34924.35
People Staffing Solutions,7,PEOPLE STAFFING SOLUTIONS,35,35,34426
DROR SERVICES PRIVATE LIMITED,185,DROR SERVICES PRIVATE LIMITED,20,19,33981
MERVICE INFOTECH PRIVATE LIMITED,196,MERVICE INFOTECH PRIVATE LIMITED,19,19,33854.97
4 PROSPER TECHNOLOGIES PRIVATE LIMITED,265,4 PROSPER TECHNOLOGIES PRIVATE LIMITED,23,23,33397
CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,17,17,33079.38
