TTSPL,Serial,Return Customer,Return Type,Delivery Date,Return Date,Outbound DC,Return DC,Delivery Customer,Same Customer,Current Status
TTSPL2996,61W7063,"GRAYOPUS TECHNOLOGIES PRIVATE LIMITED",Replacement Return,2026-08-29,2026-08-29,DC/26-27/1230,RDC002151,"GRAYOPUS TECHNOLOGIES PRIVATE LIMITED",Yes,rented
TTSPL7580,5CG0274K1D,"GOZO TECHNOLOGIES PVT LTD",Replacement Return,2026-08-31,2026-08-26,DC/26-27/1232,RDC002103,"BROWN ALLIGATOR",No,rented
TTSPL5134,5CD211D3L3,"Truetech Services Pvt. Ltd.",Normal Return,2026-08-19,2026-08-25,DC/26-27/1158,RDC002128,"Truetech Services Pvt. Ltd.",Yes,dispatch ready
TTSPL5392,95JL3T3,"BIODEAL PHARMACEUTICALS LIMITED",Normal Return,2026-08-21,2026-08-25,DC/26-27/1175,RDC002125,"BIODEAL PHARMACEUTICALS LIMITED",Yes,returned
TTSPL6720,J9RM763,"FROSTPRIME LOGISTICS LLP",Repair Return,2026-08-22,2026-08-22,DC/26-27/1201,RDC002122,"FROSTPRIME LOGISTICS LLP",Yes,rented
TTSPL6623,6KQYCL3,"Ship Global",Normal Return,2026-08-10,2026-08-21,DC/26-27/1098,RDC002067,"Ship Global",Yes,returned
TTSPL3412,9Z44ZW2,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-26,2026-08-21,DC/26-27/1190,RDC002110,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Yes,sold
TTSPL4070,6HVBZY2,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-26,2026-08-21,DC/26-27/1190,RDC002111,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Yes,returned
TTSPL4775,6PTVZH3,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-26,2026-08-21,DC/26-27/1190,RDC002112,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Yes,sold
TTSPL4765,DTZ50J3,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-26,2026-08-21,DC/26-27/1190,RDC002113,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Yes,sold
TTSPL5296,PF0UUK12,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-26,2026-08-21,DC/26-27/1190,RDC002114,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Yes,sold
TTSPL5117,PG04GTGF,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-26,2026-08-21,DC/26-27/1190,RDC002115,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Yes,sold
TTSPL4401,PF2AVEQB,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-26,2026-08-21,DC/26-27/1190,RDC002116,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Yes,sold
TTSPL5349,5NWVZQ2,"Digital Eco Innovision Private Limited",Normal Return,2026-08-26,2026-08-21,DC/26-27/1213,RDC002105,"ARAGON METAL TRADERS",No,rented
TTSPL4715,PF32J3VG,"Easy Fix Handy Solutions India Private Limited",Normal Return,2026-08-24,2026-08-21,DC/26-27/1211,RDC002095,"QUEST SOLUTIONS PRIVATE LIMITED",No,rented
TTSPL5615,PG0324MA,"QUEST SOLUTIONS PRIVATE LIMITED",Normal Return,2026-08-25,2026-08-21,DC/26-27/1208,RDC002121,"PAS DIGITAL PRIVATE LIMITED",No,rented
TTSPL3712,FVFHG8ZWQ05D,"Tagbin Services Pvt Ltd",Normal Return,2026-08-22,2026-08-20,DC/26-27/1172,RDC002002,"PIBIT TECHNOLOGIES PRIVATE LIMITED",No,rented
TTSPL4317,G49QKGJDPQ,"RHOPHI ANALYTICS LLP (Punjab)",Normal Return,2026-08-21,2026-08-20,DC/26-27/1179,RDC002073,"KHUSHI HOUSING SOLUTIONS PRIVATE LIMITED",No,rented
TTSPL7380,5CG0278Q0Z,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",Normal Return,2026-08-22,2026-08-19,DC/26-27/1191,RDC002079,"ARAGON METAL TRADERS",No,rented
TTSPL4118,JL6S303,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-20,2026-08-19,DC/26-27/1166,,"Upila Digital",No,rented
TTSPL6627,5MK5QG3,"RATHAM TECHNOLOGIES LLP",Normal Return,2026-08-26,2026-08-19,DC/26-27/1169,RDC002089,"RATHAM TECHNOLOGIES LLP",Yes,sold
TTSPL2864,68S8SF2,"RATHAM TECHNOLOGIES LLP",Normal Return,2026-08-26,2026-08-19,DC/26-27/1170,RDC002090,"RATHAM TECHNOLOGIES LLP",Yes,sold
TTSPL3433,F4R1F63,"RATHAM TECHNOLOGIES LLP",Normal Return,2026-08-26,2026-08-19,DC/26-27/1170,RDC002092,"RATHAM TECHNOLOGIES LLP",Yes,sold
TTSPL3552,PC1M8P3J,"Mercury Solutions Limited",Normal Return,2026-08-25,2026-08-19,DC/26-27/1183,RDC002093,"Mercury Solutions Limited",Yes,rented
TTSPL4296,CND1387HC7,"ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED",Normal Return,2026-08-31,2026-08-18,DC/26-27/1233,RDC002055,"EXIMPLE TECHNOLOGIES PRIVATE LIMITED",No,rented
TTSPL6249,37PXVM3,"KULSYS TECHNOLOGIES PRIVATE LIMITED",Replacement Return,2026-08-04,2026-08-18,DC/26-27/1058,RDC002051,"KULSYS TECHNOLOGIES PRIVATE LIMITED",Yes,in stock
TTSPL7421,43SGVH3,"COSMOFEED TECHNOLOGIES PVT LTD",Normal Return,2026-08-10,2026-08-18,DC/26-27/1103,RDC002071,"COSMOFEED TECHNOLOGIES PVT LTD",Yes,returned
TTSPL7592,18QWDY3,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-20,2026-08-18,DC/26-27/1167,RDC001964,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Yes,rented
