TTSPL,Serial,Customer,Billing Type,Return Type,Delivery,Return,Days With Customer,Outbound DC,Return DC,Aug Invoice,Invoice Status,Rental Charged,Rental Amount (INR),Days Billed On Invoice,Credit Note,CN Amount (INR),Current Status
TTSPL2996,61W7063,"GRAYOPUS TECHNOLOGIES PRIVATE LIMITED",prepaid,Replacement Return,2026-08-29,2026-08-29,1,DC/26-27/1230,RDC002151,INV-0835,draft,No,0,—,—,—,rented
TTSPL7580,5CG0274K1D,"GOZO TECHNOLOGIES PVT LTD",prepaid,Replacement Return,2026-08-10,2026-08-26,17,DC/26-27/1067,RDC002103,INV-0998,draft,No,0,—,CN-0180,354.68,rented
TTSPL5134,5CD211D3L3,"Truetech Services Pvt. Ltd.",prepaid,Normal Return,2026-08-19,2026-08-25,7,DC/26-27/1158,RDC002128,INV-0848,draft,No,0,—,—,—,dispatch ready
TTSPL5392,95JL3T3,"BIODEAL PHARMACEUTICALS LIMITED",prepaid,Normal Return,2026-08-21,2026-08-25,5,DC/26-27/1175,RDC002125,INV-0889,draft,No,0,—,—,—,returned
TTSPL6720,J9RM763,"FROSTPRIME LOGISTICS LLP",prepaid,Repair Return,2026-08-22,2026-08-22,1,DC/26-27/1201,RDC002122,INV-0807,draft,No,0,—,—,—,rented
TTSPL6623,6KQYCL3,"Ship Global",prepaid,Normal Return,2026-08-10,2026-08-21,12,DC/26-27/1098,RDC002067,—,—,No,0,—,—,—,returned
TTSPL7380,5CG0278Q0Z,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",prepaid,Normal Return,2026-08-10,2026-08-19,10,DC/26-27/1100,RDC002079,INV-0756,draft,No,0,—,CN-0157,657.68,rented
TTSPL6249,37PXVM3,"KULSYS TECHNOLOGIES PRIVATE LIMITED",prepaid,Replacement Return,2026-08-04,2026-08-18,15,DC/26-27/1058,RDC002051,INV-0854,draft,No,0,—,CN-0091,3612.9,in stock
TTSPL7421,43SGVH3,"COSMOFEED TECHNOLOGIES PVT LTD",prepaid,Normal Return,2026-08-10,2026-08-18,9,DC/26-27/1103,RDC002071,INV-0864,draft,No,0,—,—,—,returned
TTSPL7592,18QWDY3,"PIBIT TECHNOLOGIES PRIVATE LIMITED",prepaid,Normal Return,2026-08-08,2026-08-18,11,DC/26-27/1070,RDC001964,INV-0997,draft,No,0,—,—,—,rented
TTSPL4478,2ND9573,"FROSTPRIME LOGISTICS LLP",prepaid,Replacement Return,2026-08-11,2026-08-18,8,DC/26-27/1108,RDC002045,INV-0807,draft,No,0,—,CN-0167,754.42,rented
TTSPL3634,HLMZ4Q2,"Digital Eco Innovision Private Limited",prepaid,Normal Return,2026-08-14,2026-08-17,4,DC/26-27/1129,RDC002052,INV-0777,draft,No,0,—,CN-0174,902.77,rented
TTSPL7571,2TK4420SFX,"NUTRITIONALAB PRIVATE LIMITED",prepaid,Normal Return,2026-08-11,2026-08-14,4,DC/26-27/1105,RDC002044,INV-0766,draft,No,0,—,—,—,rented
TTSPL3750,20GTYW2,"Truetech Services Pvt. Ltd.",prepaid,Normal Return,2026-08-06,2026-08-13,8,DC/26-27/1076,RDC002016,INV-0848,draft,No,0,—,—,—,returned
TTSPL2455,GSBQGJ3,"Truetech Services Pvt. Ltd.",prepaid,Normal Return,2026-08-03,2026-08-12,10,DC/26-27/1054,RDC002013,INV-0848,draft,No,0,—,—,—,returned
TTSPL2691,PC0GBAWV,"Research Nester Private Limited",prepaid,Normal Return,2026-08-06,2026-08-12,7,DC/26-27/1029,RDC001917,INV-0983,draft,No,0,—,CN-0135,551,returned
TTSPL6802,F2WT2D3,"Truetech Services Pvt. Ltd.",prepaid,Normal Return,2026-08-03,2026-08-08,6,DC/26-27/0890,RDC001950,INV-0848,draft,No,0,—,—,—,returned
TTSPL4114,CCDRC63,"LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED",prepaid,Repair Return,2026-08-08,2026-08-08,1,SDC/26-27/0002,RDC001951,INV-0996,draft,Yes,2849,31,—,—,rented
TTSPLGR0094,5CD7432DCR,"Truetech Services Pvt. Ltd.",prepaid,Normal Return,2026-08-03,2026-08-07,5,DC/26-27/0979,RDC001944,INV-0848,draft,No,0,—,—,—,sold
TTSPL4513,9XW17G3,"Truetech Services Pvt. Ltd.",prepaid,Normal Return,2026-08-03,2026-08-04,2,DC/26-27/0921,RDC001893,INV-0848,draft,No,0,—,—,—,returned
TTSPL3876,8D8THR2,"QUEST SOLUTIONS PRIVATE LIMITED",prepaid,Repair Return,2026-08-04,2026-08-04,1,DC/26-27/1072,RDC001897,INV-0973,draft,No,0,—,—,—,rented
