invoice_number,customer_id,customer_name,ttspl_id,serial_number,model,period,rent_start,rent_end,monthly_rate,amount,is_catchup
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL4256,2FJ3FL3,Dell Latitude 5320,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL6355,FZFC2J3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL4287,F1F7S93,Dell Latitude 5320,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL6960,97CB4G3,Dell Latitude 7420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL3309,CND137BHHX,HP Elitebook 1040 G8,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL4860,51HBBK3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL3493,311C2J3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL3098,826BYY2,Dell Latitude 7400 (Touch Screen),2026-08,2026-08-01,2026-08-31,2499,2499,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL3423,9ZVT7Y2,Dell Latitude 7490,2026-08,2026-08-01,2026-08-31,1999,1999,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL6358,H086HK3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL6524,DXNXVM3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL7338,2TK24906P6,HP ELITEBOOK 640 G9,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL6893,53L10F3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL4833,D67F1J3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL4492,8STL3F3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,1999,1999,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL3221,HCMFN13,Dell Latitude 7400 (Touch Screen),2026-08,2026-08-01,2026-08-31,2499,2499,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL3155,4YR6N13,Dell Latitude 7400,2026-08,2026-08-01,2026-08-31,2499,2499,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL3131,B5F8N13,Dell Latitude 7400,2026-08,2026-08-01,2026-08-31,2499,2499,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL4846,FJ560J3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL6350,J2PXVM3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL4613,95VB4M3,Dell Latitude 5420 (Touch Screen),2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL4525,24ZB6G3,Dell Latitude 5420,2026-08,2026-08-01,2026-08-31,2699,2699,NO
INV-0323,53,OEX TECH SOLUTION PVT. LTD,TTSPL3162,HDK6N13,Dell Latitude 7400 (Touch Screen),2026-08,2026-08-01,2026-08-31,2499,2499,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL3548,PC1S0LG4,Lenovo Thinkpad X-13,2026-08,2026-08-01,2026-08-31,2374,2374,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL6526,1N114602Q7,HP Elitebook 840 G8,2026-08,2026-08-01,2026-08-31,3174,3174,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL3203,CC08N13,Dell Latitude 7400,2026-08,2026-08-01,2026-08-31,3174,3174,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL4576,LV6XRLYXHL,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5073,D06P71LPYC,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5075,J6PW4MT6JX,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL2775,J4XPVYKG99,Apple Macbook Pro,2026-08,2026-08-01,2026-08-31,7474,7474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5135,5CD211D3SP,HP Probook 440 G8,2026-08,2026-08-01,2026-08-31,3174,3174,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5294,PF1T7VCP,Lenovo Thinkpad T14,2026-08,2026-08-01,2026-08-31,1975,1975,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5296,PF0UUK12,Lenovo Thinkpad T14,2026-08,2026-08-01,2026-08-31,1975,1975,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5117,PG04GTGF,Lenovo V14 (Gen 3),2026-08,2026-08-01,2026-08-31,2574,2574,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5076,M0VMJ63CF7,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL6881,5CG2417TG1,HP Elitebook 840 G8,2026-08,2026-08-01,2026-08-31,3174,3174,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5132,5CD211D3ZJ,HP Probook 440 G8,2026-08,2026-08-01,2026-08-31,3174,3174,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5134,5CD211D3L3,HP Probook 440 G8,2026-08,2026-08-01,2026-08-31,3174,3174,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL2890,FVFH825DQ05N,Apple Macbook Pro,2026-08,2026-08-01,2026-08-31,4999,4999,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5524,L966541TVV,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL4863,CPV6XVFL95,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5526,H1JNYKQ930,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL4415,PF262Z81,Lenovo Thinkpad T490,2026-08,2026-08-01,2026-08-31,3174,3174,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5514,5CD44060TR,HP Probook 440 G10,2026-08,2026-08-01,2026-08-31,3174,3174,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5080,J5H20WT797,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL4401,PF2AVEQB,Lenovo Thinkpad T490,2026-08,2026-08-01,2026-08-31,3174,3174,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5638,PF3CPF5X,Lenovo Thinkpad E14,2026-08,2026-08-01,2026-08-31,2374,2374,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5843,CC64NL0299,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,,2TK2460CY4,HP ELITEBOOK 640 G9,2026-08,2026-08-01,2026-08-31,716.94,716.94,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL7361,2TK24903V7,HP ELITEBOOK 640 G9,2026-08,2026-08-01,2026-08-31,3999,3999,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL3412,9Z44ZW2,Dell Latitude 7400,2026-08,2026-08-01,2026-08-31,1974,1974,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL2886,FVFFC0X6Q05D,Apple Macbook Pro,2026-08,2026-08-01,2026-08-31,5074,5074,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL3084,QCXM1403DK,Apple Macbook Pro,2026-08,2026-08-01,2026-08-31,6474,6474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5225,HY7TCPY3MF,Apple Macbook Air,2026-08,2026-08-01,2026-08-31,5474,5474,NO
INV-0240,48,Pibit Technologies Private Limited,TTSPL5453,JP6VT06MKT,Apple Macbook Pro,2026-08,2026-08-01,2026-08-31,9474,9474,NO
