sheet_client_name,crm_customer_id,crm_customer_name,invoice_number,sheet_active_assets,crm_invoice_unique_assets,sheet_rent_total,crm_invoice_subtotal,rent_diff_sheet_minus_crm,matched_assets,sheet_not_in_crm,crm_not_on_sheet,amount_mismatch_assets,aligned
,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,INV-0198,0,90,0,335295.81,-335295.81,0,0,90,0,NO
Kinolve Software India Pvt Ltd,965,Kinolve Software India Pvt Ltd,,90,0,327392.59,0,327392.59,0,90,0,0,NO
ANTINO LABS PRIVATE LIMITED,120,ANTINO LABS PRIVATE LIMITED,INV-0235,66,65,250735.22,122581.55,128153.67,64,2,1,0,NO
Pibit Technologies Pvt. Ltd.,48,Pibit Technologies Private Limited,INV-0240,228,214,1031065.03,964814.79,66250.24,213,15,0,0,NO
Parts Avatar India Pvt. Ltd.,72,PARTS AVATAR INDIA PRIVATE LIMITED,INV-0242,2,41,11879.03,55528.03,-43649,2,0,39,2,NO
,966,Leverage Edu,INV-0339,0,14,0,26740,-26740,0,0,14,0,NO
FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart),94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,INV-0343,188,179,502076.24,478672.31,23403.93,177,11,2,3,NO
,79,PPG ASIAN PAINTS PRIVATE LIMITED,INV-0237,0,15,0,20985,-20985,0,0,15,0,NO
Wellbeing/NUTRITIONALAB PRIVATE LIMITED,22,NUTRITIONALAB PRIVATE LIMITED,INV-0207,51,49,230197.78,210398.78,19799,49,2,0,0,NO
LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,INV-0204,93,89,355663,340966,14697,88,5,1,1,NO
Ritu David Consulting/Data Duck,88,RITU DAVID CONSULTING,INV-0224,13,11,74845.19,61046.19,13799,11,2,0,0,NO
RHOPHI ANALYTICS LLP,106,RHOPHI ANALYTICS LLP (Punjab),INV-0357,44,42,254691.74,241145,13546.74,42,2,0,1,NO
scaleglobal,280,scaleglobal,INV-0219,6,1,13625.81,1892.47,11733.34,1,5,0,1,NO
SPNN BUSINESS SERVICES PRIVATE LIMITED,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,INV-0351,84,79,154843.17,143475.43,11367.74,79,5,0,8,NO
,958,SCALE BUSINESS SERVICES PRIVATE LIMITED,INV-0279,0,5,0,11000,-11000,0,0,5,0,NO
SARTHHAKAI PRIVATE LIMITED,39,SARTHHAKAI PRIVATE LIMITED,INV-0287,5,4,28986,19987,8999,4,1,0,0,NO
Dotnova Aitech Private Limited,152,Dotnova Aitech Private Limited,INV-0318,16,16,71447.14,63589.46,7857.68,15,1,1,1,NO
,244,FROSTPRIME LOGISTICS LLP,INV-0247,0,4,0,6596,-6596,0,0,4,0,NO
ICHELON Consulting Group,4,ICHELON CONSULTING GROUP,INV-0269,1,2,5990,11980,-5990,0,1,2,0,NO
