serial_id,ttspl_id,serial_number,customer_id,customer_name,desired_rent_start,desired_rate,sheet_rent,crm_amount,amt_delta,current_status,current_customer,current_rent_start,current_rate,issues
3475,TTSPL6666,9Q33C63,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,1799,1799,0,1799,rented,105,,1799.00,rent_start_null
443,TTSPL3172,FVFG6CSRQ05D,106,RHOPHI ANALYTICS LLP (Punjab),2026-08-01,4500,4500,0,4500,rented,106,,4500.00,rent_start_null
2045,TTSPL4371,GJY1HXFFQ0,106,RHOPHI ANALYTICS LLP (Punjab),2026-07-16,5499,8337.19,6208.55,2128.64,rented,106,2026-07-28,5499.00,rent_start 2026-07-28->2026-07-16|rent_start_earlier 2026-07-28->2026-07-16
2063,TTSPL5224,JWCX3T97YG,106,RHOPHI ANALYTICS LLP (Punjab),2026-07-24,5499,6918.1,0,6918.1,rented,106,2026-07-24,5499.00,AMOUNT_DIFF_ONLY
3757,TTSPL6063,5YZBRG3,107,SelectAstro Private Limited,2026-08-01,1999,1999,0,1999,rented,107,,1899.00,rent_start_null|rate 1899.00->1999
1320,TTSPL4265,BYZVY93,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2999,2999,2699,300,rented,94,2026-02-06,2699.00,rate 2699.00->2999
3176,TTSPL4334,PF2R3K9K,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2199,2199,0,2199,rented,94,,2199.00,rent_start_null
1112,TTSPL4644,6HY8PQ3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2699,2699,0,2699,rented,94,,2699.00,rent_start_null
52,TTSPL4616,CW0K8C3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2699,2699,0,2699,rented,94,,2699.00,rent_start_null
1300,TTSPL4291,51F7S93,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2699,2699,0,2699,rented,94,,2699.00,rent_start_null
1045,TTSPL3735,6X361F3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2699,2699,0,2699,rented,94,,2699.00,rent_start_null
290,TTSPL4320,FWJW8G3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2699,2699,0,2699,rented,94,,2699.00,rent_start_null
1114,TTSPL4798,BBR60J3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2699,2699,0,2699,rented,94,,2699.00,rent_start_null
4046,TTSPL7339,2TK2460D8R,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-07-12,2699,4440.29,4527.35,-87.06,rented,94,2026-07-11,2699.00,AMOUNT_DIFF_ONLY
1965,TTSPL6809,G0BK6D3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-07-18,2699,3917.9,4004.9700000000003,-87.07,rented,94,2026-07-17,2699.00,AMOUNT_DIFF_ONLY
179,TTSPL5136,5CD211D3Y5,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-07-31,2699,2786.06,0,2786.06,rented,94,2026-08-03,2699.00,rent_start 2026-08-03->2026-07-31|rent_start_earlier 2026-08-03->2026-07-31
312,TTSPL4739,97060J3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2699,2699,0,2699,rented,94,2026-08-03,2699.00,rent_start 2026-08-03->2026-08-01|rent_start_earlier 2026-08-03->2026-08-01
8720,TTSPL7555,3Y5S9C3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,1899,1899,0,1899,rented,94,2026-08-03,1899.00,rent_start 2026-08-03->2026-08-01|rent_start_earlier 2026-08-03->2026-08-01
1055,TTSPL3974/3615,CND123519R,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,0,2849,rented,108,2026-02-06,2849.00,ttspl_set
6720,TTSPL4218,797JP73,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
6751,TTSPL4249,CND12350XH,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
6753,TTSPL4251,CND1234MYT,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
6771,TTSPL4269,1RHKP93,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
6781,TTSPL4279,JX6LPW2JLQ,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,4849,4849,4849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->4849
1079,TTSPL4271,405ZR93,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,0,2849,in_stock,,,,status=in_stock|customer null->108|rent_start_null|rate null->2849
6775,TTSPL4273,4TD7S93,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
6805,TTSPL4303,4S6J3B3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
6806,TTSPL4304,F5F7S93,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,2849,2849,2849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->2849
6821,TTSPL4319,KXKN2YHG6C,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,4849,4849,4849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->4849
6848,TTSPL4346,J99JQM4132,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,4849,4849,4849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->4849
6872,TTSPL4370,JHX2Y5Y790,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,4849,4849,4849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->4849
6870,TTSPL4368,HQTNSG3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,3999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
6866,TTSPL4364,2QTNSG3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,3999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
6893,TTSPL4391,CPTNSG3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3999,3999,3999,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->3999
6926,TTSPL4424,JP7M1W2MKT,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,2026-08-01,4849,4849,4849,0,in_stock,,,,status=in_stock|customer null->108|ttspl_null|ttspl_set|rent_start_null|rate null->4849
