reason,source_sheet,client_name,serial_number,ttspl_id,per_month_rate,rent_amount,period_start_raw,billing_date_raw,desired_rent_start,customer_id,customer_name
SERIAL_NOT_IN_CRM_DB,LOT,FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart),5CG2146Y91,TTSPL6984,2699,2699,1-Aug-2026,31-Aug-2026,2026-08-01,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED
SERIAL_NOT_IN_CRM_DB,LOT,VINCIT TECHNOLOGIES PVT LTD,CJNL7S2,TTSPL2016,1499,1499,1-Aug-2026,31-Aug-2026,2026-08-01,112,VINCIT TECHNOLOGIES PVT LTD
CUSTOMER_UNRESOLVED,LOT,Bergen Associated Pvt Ltd,4MBZ7Y2,TTSPLGR0106,2400,2400,1-Aug-2026,31-Aug-2026,2026-08-01,,
SERIAL_NOT_IN_CRM_DB,LOT,ELYSIUM LABS PRIVATE LIMITED,GLSZP13,TTSPL6671,1499,1499,1-Aug-2026,31-Aug-2026,2026-08-01,127,Elysium Labs Pvt Ltd
CUSTOMER_UNRESOLVED,LOT,Dawnsun Kyosei,PC0BBAAX,TTSPL3254,1699,1699,1-Aug-2026,31-Aug-2026,2026-08-01,,
CUSTOMER_UNRESOLVED,LOT,Dawnsun Kyosei,2J776H2,TTSPL2769,1699,1699,1-Aug-2026,31-Aug-2026,2026-08-01,,
CUSTOMER_UNRESOLVED,LOT,Dawnsun Kyosei,5CD6223G6Y,TTSPL2441,2090,2090,1-Aug-2026,31-Aug-2026,2026-08-01,,
CUSTOMER_UNRESOLVED,LOT,SPRINGWEL MATTRESSES PRIVATE LIMITED,PC0ZTLAK,TTSPL3840,1499,1499,1-Aug-2026,31-Aug-2026,2026-08-01,,
CUSTOMER_UNRESOLVED,LOT,Inaya Reality,4X87YY2,TTSPL2975,2199,2199,1-Aug-2026,31-Aug-2026,2026-08-01,,
CUSTOMER_UNRESOLVED,LOT,Inaya Reality,4D48WD2,TTSPL2877,999,999,1-Aug-2026,31-Aug-2026,2026-08-01,,
CUSTOMER_UNRESOLVED,LOT,Inaya Reality,55GG463,TTSPL6241,2199,2199,1-Aug-2026,31-Aug-2026,2026-08-01,,
SERIAL_NOT_IN_CRM_DB,LOT,Mobifly Brain Box,3T2FL13,TTSPL6676,1750,1750,1-Aug-2026,31-Aug-2026,2026-08-01,143,BRAINBOX NETWORK
CUSTOMER_UNRESOLVED,LOT,Enhanced WAPP Systems (I) Pvt Ltd.,PC112ME5,TTSPL3591,2499,2499,1-Aug-2026,31-Aug-2026,2026-08-01,,
SERIAL_NOT_IN_CRM_DB,LOT,Biodeal Pharmaceuticals Limited,5CD112LTG0,TTSPL6559,1500,1500,1-Aug-2026,31-Aug-2026,2026-08-01,183,BIODEAL PHARMACEUTICALS LIMITED
SERIAL_NOT_IN_CRM_DB,LOT,ASL GLOBAL ADVISORS PRIVATE LIMITED,5CG2146Y91,TTSPL6984,2399,2399,1-Aug-2026,31-Aug-2026,2026-08-01,198,ASL GLOBAL ADVISORS PRIVATE LIMITED
SERIAL_NOT_IN_CRM_DB,LOT,Abjayon Consultancy Pvt. Ltd.,5CD112LTG0.,TTSPL6559,2198,2198,1-Aug-2026,31-Aug-2026,2026-08-01,206,ABJAYON CONSULTANCY PRIVATE LIMITED
SERIAL_NOT_IN_CRM_DB,LOT,EVERSOFT TECHNOLOGIES PRIVATE LIMITED,CJNL7S2,TTSPL2016,1199,1199,1-Aug-2026,31-Aug-2026,2026-08-01,251,EVERSOFT TECHNOLOGIES PRIVATE LIMITED
SERIAL_NOT_IN_CRM_DB,LOT,SHINENPRIME HEALTHCARE PRIVATE LIMITED,3T2FL13,TTSPL6676-A,999,999,1-Aug-2026,31-Aug-2026,2026-08-01,261,SHINENPRIME HEALTHCARE PRIVATE LIMITED
