ttspl,serial,reason,client
TTSPL6984,5CG2146Y91,not_in_db,FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart)
TTSPL2016,CJNL7S2,not_in_db,VINCIT TECHNOLOGIES PVT LTD
TTSPL6671,GLSZP13,not_in_db,ELYSIUM LABS PRIVATE LIMITED
TTSPL6676,3T2FL13,not_in_db,Mobifly Brain Box
TTSPL6559,5CD112LTG0,not_in_db,Biodeal Pharmaceuticals Limited
TTSPL6984,5CG2146Y91,not_in_db,ASL GLOBAL ADVISORS PRIVATE LIMITED
TTSPL6559,5CD112LTG0.,not_in_db,Abjayon Consultancy Pvt. Ltd.
TTSPL6936,88R60J3,status_sold,ZYKRR TECHNOLOGIES PRIVATE LIMITED
TTSPL2016,CJNL7S2,not_in_db,EVERSOFT TECHNOLOGIES PRIVATE LIMITED
TTSPL6676-A,3T2FL13,not_in_db,SHINENPRIME HEALTHCARE PRIVATE LIMITED
TTSPL7448,GWFS2M3,status_on_demo,INNOVA ESI PRIVATE LIMITED
