sheet_client_name,crm_customer_id,crm_customer_name,invoice_number,sheet_active_assets,sheet_rent_total,crm_invoice_subtotal,rent_diff_sheet_minus_crm,matched_assets,sheet_not_in_crm,amount_mismatch_assets,aligned
Parts Avatar India Pvt. Ltd.,72,PARTS AVATAR INDIA PRIVATE LIMITED,INV-0604,2,11879.03,55528.03,-43649,2,0,2,NO
Pibit Technologies Pvt. Ltd.,48,Pibit Technologies Private Limited,INV-0587,228,1031065.03,993691.85,37373.18,221,7,1,NO
Optimizing Resources Private Limited,29,Optimizing Resources Private Limited,INV-0574,99,167574.68,176429.51,-8854.83,99,0,3,NO
Dawnsun Exim Corporation,126,DAWNSUN EXIM CORPORATION,INV-0642,5,9637,17977,-8340,5,0,0,NO
Indicold pvt ltd.,5,Indicold Private Limited (HR),INV-0554,8,17829,25789,-7960,8,0,0,NO
Sturmfrei Hospitality Pvt. Ltd,281,Sturmfrei Hospitality Pvt. Ltd,INV-0730,5,16495,23994,-7499,5,0,0,NO
Mobifly Brain Box,143,BRAINBOX NETWORK,INV-0656,13,24750,32057.61,-7307.61,12,1,0,NO
RHOPHI ANALYTICS LLP,106,RHOPHI ANALYTICS LLP (Punjab),INV-0626,44,254691.74,247773.64,6918.1,43,1,0,NO
Dotnova Aitech Private Limited,152,Dotnova Aitech Private Limited,INV-0661,15,70248.14,63589.46,6658.68,15,0,1,NO
G N APNA UDYOG LLP (AU Logistics)/RATHAM TECHNOLOGIES LLP,122,RATHAM TECHNOLOGIES LLP,INV-0639,59,128022.97,133915.32,-5892.35,59,0,3,NO
Aamore Solutions,125,Aamore solutions,INV-0641,2,2900,8700,-5800,2,0,0,NO
QUICKREPLY TECHNOLOGIES INDIA PVT. LTD.,153,QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,INV-0662,11,20858.71,26420.8,-5562.09,11,0,3,NO
IMSUCCESS PRIVATE LIMITED,50,IMSUCCESS PRIVATE LIMITED,INV-0589,4,22449,27949,-5500,4,0,0,NO
Prisha Insurance Brokers Pvt Ltd,54,Prisha Insurance Brokers Pvt Ltd,INV-0593,6,11731.48,6796,4935.48,4,2,0,NO
LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,INV-0628,93,355663,350814,4849,93,0,1,NO
SPNN BUSINESS SERVICES PRIVATE LIMITED,256,SPNN BUSINESS SERVICES PRIVATE LIMITED,INV-0718,84,154843.17,150025.43,4817.74,83,1,9,NO
COAL BEAUTY PRIVATE LIMITED,145,COAL BEAUTY PRIVATE LIMITED,INV-0658,5,5995,10791,-4796,5,0,0,NO
URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,92,URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,INV-0619,38,36862,41363.65,-4501.65,38,0,1,NO
Saajha,14,Saajha,INV-0561,4,7678,11658,-3980,4,0,0,NO
People Staffing Solutions,7,PEOPLE STAFFING SOLUTIONS,INV-0556,31,30479,34426,-3947,31,0,0,NO
Pernimius Financial Technologies Pvt Ltd,8,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,INV-0557,19,32770.36,28901.32,3869.04,17,2,0,NO
SUKHMAA SONS AND ASSOCIATES,42,SUKHMAA SONS AND ASSOCIATES,INV-0583,12,18044.32,21843.28,-3798.96,12,0,0,NO
Digital Eco Innovision Private Limited,11,Digital Eco Innovision Private Limited,INV-0560,27,68471.84,72150.45,-3678.61,27,0,1,NO
Upila Digital,28,Upila Digital,INV-0573,12,34924.35,31248.16,3676.19,11,1,0,NO
Mercury Solutions Limited,26,Mercury Solutions Limited,INV-0571,33,57255.78,60798.97,-3543.19,33,0,2,NO
