status,customer,ttspl,serial,sheet_rent,crm_amount,diff
ON_SHEET_NOT_IN_CRM,RHOPHI ANALYTICS LLP (Punjab),TTSPL5224,JWCX3T97YG,6918.1,,6918.1
ON_SHEET_NOT_IN_CRM,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,TTSPL6984,5CG2146Y91,2699,,2699
AMOUNT_DIFF,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,TTSPL7339,2TK2460D8R,4440.29,4527.35,-87.06
AMOUNT_DIFF,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,TTSPL6809,G0BK6D3,3917.9,4004.97,-87.07
AMOUNT_DIFF,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,TTSPL4425,K7593PK7C7,4849,6474,-1625
AMOUNT_DIFF,Synergie Network Engineering India Pvt Ltd,TTSPL4604,91RH2F3,2499,4272.48,-1773.48
AMOUNT_DIFF,Dotnova Aitech Private Limited,TTSPL3018,884BKC2,9006.68,1149,7857.68
ON_SHEET_NOT_IN_CRM,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,TTSPL7552,JNCM1J3,1934.52,,1934.52
ON_SHEET_NOT_IN_CRM,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,TTSPL7559,2HLG7C3,1934.52,,1934.52
ON_SHEET_NOT_IN_CRM,Quest Solutions Private Limited,TTSPL7445,2CBLPN3,2911.52,,2911.52
AMOUNT_DIFF,Digital Eco Innovision Private Limited,TTSPL5414,5CD1321WJH,2740.84,2821.45,-80.61
AMOUNT_DIFF,Pibit Technologies Private Limited,TTSPL5256,NO S/N,2999,7499,-4500
ON_SHEET_NOT_IN_CRM,Pibit Technologies Private Limited,TTSPL7429,2MQ448107S,5690.32,,5690.32
ON_SHEET_NOT_IN_CRM,Pibit Technologies Private Limited,TTSPL7427,2MQ449129N,5690.32,,5690.32
ON_SHEET_NOT_IN_CRM,Pibit Technologies Private Limited,TTSPL7494,2MQ44808GV,5690.32,,5690.32
ON_SHEET_NOT_IN_CRM,Pibit Technologies Private Limited,TTSPL7426,2MQ4480QQK,5690.32,,5690.32
ON_SHEET_NOT_IN_CRM,Pibit Technologies Private Limited,TTSPL7566,GNPMGW3,3774.19,,3774.19
ON_SHEET_NOT_IN_CRM,Pibit Technologies Private Limited,TTSPL7567,5R28GY3,3774.19,,3774.19
ON_SHEET_NOT_IN_CRM,Pibit Technologies Private Limited,TTSPL7572,2MQ44802MC,4064.52,,4064.52
AMOUNT_DIFF,BPB Online LLP,TTSPL7193,R913GZ8K,1799,3249.81,-1450.81
AMOUNT_DIFF,BPB Online LLP,TTSPL7173,R913GZEB,1799,3249.81,-1450.81
AMOUNT_DIFF,BPB Online LLP,TTSPL7190,R913GZ7R,3598,1799,1799
AMOUNT_DIFF,BPB Online LLP,TTSPL7153,R913GZEX,3598,1799,1799
ON_SHEET_NOT_IN_CRM,VINCIT TECHNOLOGIES PVT LTD,TTSPL2016,CJNL7S2,1499,,1499
AMOUNT_DIFF,Mercury Solutions Limited,TTSPLGR0165,1SCY0B3,1699,3288.39,-1589.39
AMOUNT_DIFF,Mercury Solutions Limited,TTSPL6664,HY23C63,2849.94,2904.74,-54.8
AMOUNT_DIFF,KULSYS TECHNOLOGIES PRIVATE LIMITED,TTSPL4764,HZ2XZH3,3500,6322.58,-2822.58
AMOUNT_DIFF,KULSYS TECHNOLOGIES PRIVATE LIMITED,TTSPL4657,66RM3F3,6209.68,6322.58,-112.9
AMOUNT_DIFF,RATHAM TECHNOLOGIES LLP,TTSPL6933,5CG3050K9Y,3199,5778.84,-2579.84
AMOUNT_DIFF,RATHAM TECHNOLOGIES LLP,TTSPL4809,DYTXZH3,6078.1,6088.42,-10.32
AMOUNT_DIFF,RATHAM TECHNOLOGIES LLP,TTSPL3995,CND12350P1,5262.87,5366.06,-103.19
AMOUNT_DIFF,Research Nester Private Limited,TTSPL3147,PF225E2C,1099,2198,-1099
AMOUNT_DIFF,Research Nester Private Limited,TTSPL4209,BMM57Y2,1100,1500,-400
ON_SHEET_NOT_IN_CRM,Research Nester Private Limited,TTSPL2691,PC0GBAWV,870,,870
ON_SHEET_NOT_IN_CRM,Research Nester Private Limited,TTSPL7472,5CG0278DQ0,1209.68,,1209.68
AMOUNT_DIFF,Shreyas Management Consulting Services,TTSPL3616,5CG0294MT0,1699,2685.52,-986.52
AMOUNT_DIFF,Optimizing Resources Private Limited,TTSPL7441,DMV76D3,2838.71,2890.32,-51.61
AMOUNT_DIFF,Optimizing Resources Private Limited,TTSPL7433,4LC98G3,2838.71,2890.32,-51.61
AMOUNT_DIFF,Optimizing Resources Private Limited,TTSPL7437,DMK98G3,2838.71,2890.32,-51.61
ON_SHEET_NOT_IN_CRM,Elysium Labs Pvt Ltd,TTSPL6671,GLSZP13,1499,,1499
AMOUNT_DIFF,Elysium Labs Pvt Ltd,TTSPL6255,DFTM763,1499,2562.81,-1063.81
ON_SHEET_NOT_IN_CRM,Prisha Insurance Brokers Pvt Ltd,TTSPL7446,C3V51J3,2467.74,,2467.74
ON_SHEET_NOT_IN_CRM,Prisha Insurance Brokers Pvt Ltd,TTSPL7431,9G516D3,2467.74,,2467.74
ON_SHEET_NOT_IN_CRM,SLEEP MANAGEMENT PRIVATE LIMITED(New),TTSPL4385/TTSPL4376,PC261P42,1999,,1999
AMOUNT_DIFF,SLEEP MANAGEMENT PRIVATE LIMITED(New),TTSPL7350,2TK24609WX,2699,4875.61,-2176.61
AMOUNT_DIFF,SLEEP MANAGEMENT PRIVATE LIMITED(New),TTSPL7531,4W5T2F3,2127.97,2192.45,-64.48
ON_SHEET_NOT_IN_CRM,NOTUS SERVICES PRIVATE LIMITED,TTSPL7496,5CG0278QJ1,1257.1,,1257.1
ON_SHEET_NOT_IN_CRM,NOTUS SERVICES PRIVATE LIMITED,TTSPL7500,5CG02749MF,1257.1,,1257.1
AMOUNT_DIFF,Digital Nirvana Information Systems Pvt Ltd,TTSPL4727,PF2R74CA,3385.48,3453.19,-67.71
ON_SHEET_NOT_IN_CRM,BRAINBOX NETWORK,TTSPL6676,3T2FL13,1750,,1750
AMOUNT_DIFF,BMRV Engineering Consultants LLP,TTSPL6568,5CD112KFHX,2199,3972.39,-1773.39
ON_SHEET_NOT_IN_CRM,Upila Digital,TTSPL4226,9NS0BC3,3676.19,,3676.19
