ttspl,client,bill_from,sheet,crm,delta,kind
TTSPL5224,"RHOPHI ANALYTICS LLP",2026-07-24,6918.096774193549,0,,MISSING
TTSPL7392,"SELECTASTRO PRIVATE LIMITED",2026-07-01,947.71,0,,MISSING
TTSPL7389,"SELECTASTRO PRIVATE LIMITED",2026-07-01,90.25,0,,MISSING
TTSPL7387,"SELECTASTRO PRIVATE LIMITED",2026-07-01,90.25,2798,-2707.75,AMT
TTSPL6984,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart)",2026-08-01,2699,0,,MISSING
TTSPL3018,"Dotnova Aitech Private Limited",2026-01-06,9006.677419354839,1149,7857.68,AMT
TTSPL7552,"Pernimius Financial Technologies Pvt Ltd",2026-08-02,1934.516129032258,0,,MISSING
TTSPL7559,"Pernimius Financial Technologies Pvt Ltd",2026-08-02,1934.516129032258,0,,MISSING
TTSPL4377,"Quest Solutions Private Limited",2026-07-13,67.7,0,,MISSING
TTSPL2454,"Quest Solutions Private Limited",2026-07-15,96.74,0,,MISSING
TTSPL7445,"Quest Solutions Private Limited",2026-07-20,2911.5161290322585,0,,MISSING
TTSPL7287,"Pibit Technologies Pvt. Ltd.",2026-08-01,3175,0,,MISSING
TTSPL7429,"Pibit Technologies Pvt. Ltd.",2026-07-21,5690.322580645161,0,,MISSING
TTSPL7427,"Pibit Technologies Pvt. Ltd.",2026-07-21,5690.322580645161,0,,MISSING
TTSPL7494,"Pibit Technologies Pvt. Ltd.",2026-07-21,5690.322580645161,0,,MISSING
TTSPL7426,"Pibit Technologies Pvt. Ltd.",2026-07-21,5690.322580645161,0,,MISSING
TTSPL7566,"Pibit Technologies Pvt. Ltd.",2026-08-02,3774.1935483870966,0,,MISSING
TTSPL7567,"Pibit Technologies Pvt. Ltd.",2026-08-02,3774.1935483870966,0,,MISSING
TTSPL7572,"Pibit Technologies Pvt. Ltd.",2026-08-02,4064.516129032258,0,,MISSING
TTSPL4432,"ATTITUDE EVENETS PRIVATE LIMITED",2026-07-13,232.26,0,,MISSING
TTSPL2016,"VINCIT TECHNOLOGIES PVT LTD",2026-08-01,1499,0,,MISSING
TTSPL4809,"G N APNA UDYOG LLP (AU Logistics)/RATHAM TECHNOLOGIES LLP",2026-07-04,6078.1,6088.42,-10.32,AMT
TTSPL3147,"RESEARCH NESTER PRIVATE LIMITED",2026-08-01,1099,2198,-1099,AMT
TTSPL2691,"RESEARCH NESTER PRIVATE LIMITED",2026-08-02,870,0,,MISSING
TTSPL7472,"RESEARCH NESTER PRIVATE LIMITED",2026-08-02,1209.6774193548388,0,,MISSING
TTSPL4066,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL2103,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL3263,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL2411,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPLGR0151,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL3509,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL5029,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL2133,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL3895,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL3934,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL4088,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL3774,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL3454,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL2452,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL3948,"PPG Asian Paint",2026-07-01,1399,2798,-1399,AMT
TTSPL3237,"PPG Asian Paint",2026-07-27,225.65,0,,MISSING
TTSPL6671,"ELYSIUM LABS PRIVATE LIMITED",2026-08-01,1499,0,,MISSING
TTSPL7446,"Prisha Insurance Brokers Pvt Ltd",2026-07-18,2467.741935483871,0,,MISSING
TTSPL7431,"Prisha Insurance Brokers Pvt Ltd",2026-07-18,2467.741935483871,0,,MISSING
TTSPL4385/TTSPL4376,"SLEEP MANAGEMENT PRIVATE LIMITED",2026-08-01,1999,0,,MISSING
TTSPL5192,"NOTUS SERVICES PRIVATE LIMITED",2026-08-01,1800,0,,MISSING
TTSPL7496,"NOTUS SERVICES PRIVATE LIMITED",2026-08-02,1257.0967741935483,0,,MISSING
TTSPL7500,"NOTUS SERVICES PRIVATE LIMITED",2026-08-02,1257.0967741935483,0,,MISSING
TTSPL4727,"DIGITAL NIRVANA INFORMATION SYSTEMS INDIA PRIVATE LIMITED",2026-07-12,3385.483870967742,3453.19,-67.71,AMT
TTSPL7476,"Beom Commerce Private Limited",2026-07-21,122.58,0,,MISSING
TTSPL7499,"Beom Commerce Private Limited",2026-07-24,40.32,1572.58,-1532.26,AMT
TTSPL6676,"Mobifly Brain Box",2026-08-01,1750,0,,MISSING
TTSPL4614,"Techsur Solutions Private Limited/Naraharisetty Bobby B2C",2026-07-02,1290.32,9838.71,-8548.39,AMT
TTSPL4226,"Upila Digital",2026-07-25,3676.193548387097,0,,MISSING
TTSPL6672,"Clanify Media Private Limited",2026-08-01,1200,0,,MISSING
TTSPL7432,"EXOTALENT CONSULTANCY SERVICES LLP",2026-08-02,1740.967741935484,0,,MISSING
TTSPL6559,"Biodeal Pharmaceuticals Limited",2026-08-01,1500,0,,MISSING
TTSPL6271,"Carrum Mobility Solutions",2026-08-01,1500,0,,MISSING
TTSPL6781,"Carrum Mobility Solutions",2026-08-01,1500,0,,MISSING
TTSPL6662,"Carrum Mobility Solutions",2026-08-01,1500,0,,MISSING
TTSPL2987,"Carrum Mobility Solutions",2026-07-02,2950,2951.61,-1.61,AMT
TTSPL6463,"Carrum Mobility Solutions",2026-08-02,1305.483870967742,0,,MISSING
TTSPL3083,"IIOT INNOVATION Private Limited",2026-07-05,1160.71,0,,MISSING
TTSPL7224,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",2026-07-02,3931.366666666667,3933.52,-2.15,AMT
TTSPL7248,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",2026-07-02,3931.366666666667,3933.52,-2.15,AMT
TTSPL7270,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",2026-07-02,3931.366666666667,3933.52,-2.15,AMT
