sheet_client,crm_customer_id,crm_name,invoice,sheet_assets,sheet_rent,crm_subtotal,diff,aligned
"Parts Avatar India Pvt. Ltd.",72,"PARTS AVATAR INDIA PRIVATE LIMITED",INV-0801,2,11879.03,56778.03,-44899,NO
"Pibit Technologies Pvt. Ltd.",48,"Pibit Technologies Private Limited",INV-0799,227,1024591.03,992066.85,32524.18,NO
"Mobifly Brain Box",,null,,13,24750,0,24750,NO
"PPG Asian Paint",79,"PPG ASIAN PAINTS PRIVATE LIMITED",INV-0796,16,21210.65,41970,-20759.35,NO
"TripHunter In",,null,,9,16191,0,16191,NO
"Dawnsun Exim Corporation",126,"DAWNSUN EXIM CORPORATION",INV-0873,2,4149,17977,-13828,NO
"Dawnsun Kyosei",126,"DAWNSUN EXIM CORPORATION",INV-0873,3,5488,17977,-12489,NO
"Bench Kart Services Pvt Ltd",254,"A S Computer Services PVTLTD",,8,11433,0,11433,NO
"Maxlence Digital (OPC) Private Limited",211,"Maxlence Digital (OPC) Private Limited",INV-0906,1,8593.55,18432.26,-9838.71,NO
"Techsur Solutions Private Limited/Naraharisetty Bobby B2C",26,"Mercury Solutions Limited",INV-0798,15,49697.55,59154.78,-9457.23,NO
"Optimizing Resources Private Limited",29,"Optimizing Resources Private Limited",INV-0828,99,167574.68,176274.68,-8700,NO
"SPNN BUSINESS SERVICES PRIVATE LIMITED",256,"SPNN BUSINESS SERVICES PRIVATE LIMITED",INV-0909,84,154843.17,146201.23,8641.94,NO
"Indicold pvt ltd.",5,"Indicold Private Limited (HR)",INV-0822,8,17829,25789,-7960,NO
"RHOPHI ANALYTICS LLP",106,"RHOPHI ANALYTICS LLP (Punjab)",INV-0915,44,254691.74,247773.64,6918.1,NO
"Dotnova Aitech Private Limited",152,"Dotnova Aitech Private Limited",INV-0877,15,70248.13,63589.46,6658.67,NO
"ClickOnik Digital Media Pvt Ltd",82,"RealVibe digital media pvt ltd",INV-0784,2,3404.32,9598,-6193.68,NO
"Aamore Solutions",125,"Aamore solutions",INV-0786,2,2900,8700,-5800,NO
"IMSUCCESS PRIVATE LIMITED",50,"IMSUCCESS PRIVATE LIMITED",INV-0855,4,22449,27949,-5500,NO
"Prisha Insurance Brokers Pvt Ltd",54,"Prisha Insurance Brokers Pvt Ltd",INV-0827,6,11731.48,6796,4935.48,NO
"LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED",108,"LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED",INV-0762,93,355663,350814,4849,NO
"ASL GLOBAL ADVISORS PRIVATE LIMITED",198,"ASL GLOBAL ADVISORS PRIVATE LIMITED",INV-0813,11,26389,31187,-4798,NO
"COAL BEAUTY PRIVATE LIMITED",145,"COAL BEAUTY PRIVATE LIMITED",INV-0921,5,5995,10791,-4796,NO
"Global Fashion Off Duty Limited",156,"Global Fashion Off Duty Limited",INV-0767,22,53192.68,57563.26,-4370.58,NO
"Saajha",14,"Saajha",INV-0856,4,7678,11658,-3980,NO
"People Staffing Solutions",7,"PEOPLE STAFFING SOLUTIONS",INV-0884,31,30479,34426,-3947,NO
"ZYKRR TECHNOLOGIES PRIVATE LIMITED",242,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",INV-0816,38,99653.58,95730.82,3922.76,NO
"Pernimius Financial Technologies Pvt Ltd",8,"PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED",INV-0930,19,32770.36,28901.32,3869.04,NO
"SUKHMAA SONS AND ASSOCIATES",42,"SUKHMAA SONS AND ASSOCIATES",INV-0779,12,18044.32,21843.28,-3798.96,NO
"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",INV-0756,38,36862,40558,-3696,NO
"Upila Digital",28,"Upila Digital",INV-0815,12,34924.35,31248.16,3676.19,NO
"Digital Eco Innovision Private Limited",11,"Digital Eco Innovision Private Limited",INV-0777,27,68471.84,72069.84,-3598,NO
"DROR SERVICES PRIVATE LIMITED",185,"DROR SERVICES PRIVATE LIMITED",INV-0918,19,33981,37398.65,-3417.65,NO
"G N APNA UDYOG LLP (AU Logistics)/RATHAM TECHNOLOGIES LLP",122,"RATHAM TECHNOLOGIES LLP",INV-0902,59,128022.97,131232.29,-3209.32,NO
"MNR Solutions Pvt. Ltd.",178,"MNR Solutions Pvt. Ltd.",INV-0920,28,32446.13,35646.13,-3200,NO
"SYNERGY SOFTWARES LIMITED",44,"SYNERGY SOFTWARES LIMITED",INV-0776,3,5100,8250,-3150,NO
"Quest Solutions Private Limited",9,"Quest Solutions Private Limited",INV-0792,43,90378.44,87302.49,3075.95,NO
