customer_id,customer_name,ttspl,serial_id,status,rate,rent_start
105,"GRAYOPUS TECHNOLOGIES PRIVATE LIMITED",TTSPL3042,735,rented,1899,2026-08-03
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",TTSPL6984_A,3591,rented,2699,2026-02-28
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",TTSPL5116,1461,rented,2499,2026-02-06
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",TTSPL4118,1346,returned,1685.9,2026-02-06
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",TTSPL4582,1363,returned,2069.23,2026-02-06
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",TTSPL6433.,2513,returned,2069.23,2026-02-06
200,"XSKY LOUNGE HOSPITALITY PRIVATE LIMITED",TTSPL4801,51,rented,2222.57,2026-02-06
25,"Synergie Network Engineering India Pvt Ltd",TTSPL3950,1189,returned,1532.57,2026-02-06
25,"Synergie Network Engineering India Pvt Ltd",TTSPL3949,1188,returned,1532.57,2026-02-06
25,"Synergie Network Engineering India Pvt Ltd",TTSPL2141,2283,returned,1034.23,2026-02-06
152,"Dotnova Aitech Private Limited",TTSPL3821,751,rented,1199,2026-02-06
6,"MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED",TTSPL1056,870,rented,1800,2026-02-06
111,"COSMOFEED TECHNOLOGIES PVT LTD",TTSPL1459,369,rented,999,2026-02-06
7,"PEOPLE STAFFING SOLUTIONS",TTSPL4136,543,rented,999,2026-02-06
7,"PEOPLE STAFFING SOLUTIONS",TTSPL4049,549,rented,999,2026-02-06
7,"PEOPLE STAFFING SOLUTIONS",TTSPL2243,555,rented,950,2026-02-06
7,"PEOPLE STAFFING SOLUTIONS",TTSPL1640,544,rented,999,2026-02-06
11,"Digital Eco Innovision Private Limited",TTSPL2343,641,rented,1799,2026-05-06
11,"Digital Eco Innovision Private Limited",TTSPL3379,2025,rented,1799,2026-04-10
11,"Digital Eco Innovision Private Limited",TTSPL6187,3339,returned,267.75,2026-02-24
17,"VIRALCURRY DIGITAL PRIVATE LIMITED",TTSPL1769,2,rented,1340,2026-02-06
17,"VIRALCURRY DIGITAL PRIVATE LIMITED",TTSPL2347,5,rented,1340,2026-02-06
14,"Saajha",TTSPL1010,105,rented,1990,2026-02-06
14,"Saajha",TTSPL4506,106,rented,1990,2026-02-06
48,"Pibit Technologies Private Limited",TTSPL4425,2153,rented,4849,2026-06-08
50,"IMSUCCESS PRIVATE LIMITED",TTSPL1467,2263,rented,5500,2026-02-06
112,"VINCIT TECHNOLOGIES PVT LTD",TTSPL2016_A,2183,rented,1499,2025-01-04
26,"Mercury Solutions Limited",TTSPL7198,3857,rented,1899,2026-05-29
118,"COSMO BRANDS PRIVATE LIMITED",TTSPL1709,597,rented,1190,2026-02-06
118,"COSMO BRANDS PRIVATE LIMITED",TTSPL2219,596,rented,1190,2026-02-06
122,"RATHAM TECHNOLOGIES LLP",TTSPL4314,666,rented,3199,2026-02-06
122,"RATHAM TECHNOLOGIES LLP",TTSPL6381,3631,returned,1478.57,2026-02-04
20,"Research Nester Private Limited",TTSPL1536,3007,rented,599,2026-02-24
20,"Research Nester Private Limited",TTSPL2121,981,rented,599,2026-02-06
20,"Research Nester Private Limited",TTSPL1036,985,rented,899,2026-02-06
20,"Research Nester Private Limited",TTSPL1826,990,rented,899,2026-02-06
20,"Research Nester Private Limited",TTSPL2570,999,rented,599,2026-02-06
20,"Research Nester Private Limited",TTSPL3208,991,returned,689.23,2026-02-06
76,"Shreyas Management Consulting Services",TTSPL7398,8162,rented,1699,2026-07-31
62,"Pas Digital Pvt Ltd",TTSPL4155,3315,rented,1499,2026-04-06
29,"Optimizing Resources Private Limited",TTSPL2629,1729,rented,1450,2026-02-06
29,"Optimizing Resources Private Limited",TTSPL2942,1734,rented,1450,2026-02-06
29,"Optimizing Resources Private Limited",TTSPL1197,1739,rented,1450,2026-02-06
29,"Optimizing Resources Private Limited",TTSPL1151,1738,rented,1450,2026-02-06
29,"Optimizing Resources Private Limited",TTSPL2302,1750,rented,1450,2026-02-06
29,"Optimizing Resources Private Limited",TTSPL2116,1757,rented,1450,2026-02-06
29,"Optimizing Resources Private Limited",TTSPL7032,3662,rented,2700,2026-08-03
127,"Elysium Labs Pvt Ltd",TTSPL6671_A,3648,rented,1499,2026-02-28
126,"DAWNSUN EXIM CORPORATION",TTSPL3254,20,rented,1699,2026-02-06
126,"DAWNSUN EXIM CORPORATION",TTSPL2441,22,rented,2090,2026-02-06
126,"DAWNSUN EXIM CORPORATION",-,17,rented,1850,2026-02-06
126,"DAWNSUN EXIM CORPORATION",TRU730,18,rented,1850,2026-02-06
126,"DAWNSUN EXIM CORPORATION",TTSPL2769,21,rented,1699,2026-02-06
126,"DAWNSUN EXIM CORPORATION",TRU1395,19,rented,1850,2026-02-06
126,"DAWNSUN EXIM CORPORATION",TTSPL1265,15,rented,2790,2026-02-06
125,"Aamore solutions",TTSPL4012,583,rented,1450,2026-02-06
125,"Aamore solutions",TTSPL1470,584,rented,1450,2026-02-06
125,"Aamore solutions",TTSPL2746,982,rented,1450,2026-05-08
125,"Aamore solutions",TTSPL2609,586,rented,1450,2026-02-06
52,"Nexthire LLP",TTSPL7148,3807,rented,1800,2026-06-09
42,"SUKHMAA SONS AND ASSOCIATES",,8286,rented,1,2026-07-17
42,"SUKHMAA SONS AND ASSOCIATES",TTSPL2386,793,rented,799,2026-02-06
42,"SUKHMAA SONS AND ASSOCIATES",TTSPL2618,791,rented,799,2026-02-06
42,"SUKHMAA SONS AND ASSOCIATES",TTSPL3402,795,rented,799,2026-02-06
42,"SUKHMAA SONS AND ASSOCIATES",TTSPL2323,796,rented,1399,2026-02-06
42,"SUKHMAA SONS AND ASSOCIATES",,8285,rented,1,2026-07-17
38,"MANNA BIOTECH PRIVATE LIMITED",TTSPL4095,1774,rented,1099,2026-02-06
130,"Aim Plus Staffing Solutions",TTSPL4209,341,rented,1100,2026-06-25
33,"ERA BOTANICS PRIVATE LIMITED",TTSPL6320,3386,rented,2299,2026-02-17
44,"SYNERGY SOFTWARES LIMITED",TTSPL3993,606,rented,1450,2026-02-06
44,"SYNERGY SOFTWARES LIMITED",TTSPL5680,2385,rented,1700,2026-02-06
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",TTSPL2341,1798,rented,899,2026-02-06
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",TTSPL1045,1803,rented,999,2026-02-06
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",TTSPL1491,1794,rented,899,2026-02-06
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",TTSPL2633,1789,rented,899,2026-02-06
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",TTSPL4434,970,rented,999,2026-08-03
141,"Easy Fix Handy Solutions India Private Limited",TTSPL6913,3257,rented,1400,2026-08-03
138,"Clanify Media Private Limited",TTSPL6672-A,3769,returned,0,2026-04-29
82,"RealVibe digital media pvt ltd",TTSPL4885,838,rented,4799,2026-02-06
82,"RealVibe digital media pvt ltd",TTSPL5023,844,rented,4799,2026-02-06
145,"COAL BEAUTY PRIVATE LIMITED",TTSPL2752,2020,rented,1199,2026-04-27
145,"COAL BEAUTY PRIVATE LIMITED",TTSPL1053,3028,rented,1199,2026-04-13
145,"COAL BEAUTY PRIVATE LIMITED",TTSPL1007,723,rented,1199,2026-02-06
145,"COAL BEAUTY PRIVATE LIMITED",TTSPL1783,3118,rented,1199,2026-04-17
156,"Global Fashion Off Duty Limited",TTSPL7387,8150,rented,1399,2026-07-01
156,"Global Fashion Off Duty Limited",TTSPL7499,8267,rented,1250,2026-07-24
185,"DROR SERVICES PRIVATE LIMITED",TTSPL3781,3161,rented,1999,2026-07-10
178,"MNR Solutions Pvt. Ltd.",TTSPL7587,8834,rented,1600,2026-08-01
178,"MNR Solutions Pvt. Ltd.",TTSPL7586,8833,rented,1600,2026-08-01
183,"BIODEAL PHARMACEUTICALS LIMITED",TTSPL6559_A,2671,rented,1500,2025-12-31
198,"ASL GLOBAL ADVISORS PRIVATE LIMITED",TTSPL6999,3606,rented,2399,2026-02-28
198,"ASL GLOBAL ADVISORS PRIVATE LIMITED",TTSPL6984_B,9154,rented,2399,2026-02-17
207,"CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED",TTSPL6080-A,3770,returned,3321.43,2026-02-26
206,"ABJAYON CONSULTANCY PRIVATE LIMITED",TTSPL6559_B,3765,rented,2198,2026-05-15
206,"ABJAYON CONSULTANCY PRIVATE LIMITED",TTSPL6058,2755,rented,0.77,2026-02-06
230,"The Class One/ Inventify Edtech solution Pvt. Ltd",TTSPL1777,2973,rented,1100,2026-03-18
251,"EVERSOFT TECHNOLOGIES PRIVATE LIMITED",TTSPL2016_B,3761,rented,1199,2026-03-27
255,"Amar Amba Finance Hire Purchase Private Limited",TTSPL6080,3391,rented,1500,2026-03-21
256,"SPNN BUSINESS SERVICES PRIVATE LIMITED",TTSPL6663,3472,returned,0.23,2026-03-23
261,"SHINENPRIME HEALTHCARE PRIVATE LIMITED",TTSPL6671_B,9156,rented,999,2026-03-27
261,"SHINENPRIME HEALTHCARE PRIVATE LIMITED",TTSPL6676_B,3763,rented,999,2026-03-27
261,"SHINENPRIME HEALTHCARE PRIVATE LIMITED",TTSPL1055,3148,rented,999,2026-03-27
211,"Maxlence Digital (OPC) Private Limited",TTSPL4614,83,rented,5000,2026-07-02
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL2165,2284,rented,1250,2026-04-15
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5485,2791,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5205,517,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL1973,2031,rented,1250,
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPLGR0127,439,rented,1250,
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5438,2787,rented,1250,2026-04-29
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5202,3274,rented,1250,2026-04-29
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL1967,2228,rented,1250,2026-04-29
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL2174,3370,rented,1250,2026-04-10
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL3305,857,rented,1250,2026-04-08
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5206,524,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5487,2793,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5377,2779,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5313,521,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL4050,659,rented,1250,2026-04-09
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL4959,523,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5199,516,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5207,519,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL2728,526,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5420,2781,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5482,2790,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL3366,3008,rented,1250,2026-04-08
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL4904,1006,rented,1250,2026-06-11
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL3512,2901,rented,1900,2026-05-21
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL3983,1190,rented,1250,2026-04-29
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL3769,1606,rented,1250,2026-04-17
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5481,2796,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5380,2780,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL3338,527,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5432,2785,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5263,520,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5429,2784,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL1676,515,rented,999,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5476,2789,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5442,2788,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL4916,525,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5378,2778,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5489,2794,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5484,2795,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPL5422,2782,rented,1250,2026-02-06
72,"PARTS AVATAR INDIA PRIVATE LIMITED",TTSPLGR0088,3105,rented,1250,2026-04-08
120,"ANTINO LABS PRIVATE LIMITED",TTSPL1942,2246,rented,0,2026-02-06
