customer_name,customer_id,invoice,sheet_count,crm_bucket_rented_returned,sheet_price,crm_invoice_price,price_diff,extra_count,missing_count,inv_extra_count,inv_missing_count,extras,missing
"PARTS AVATAR INDIA PRIVATE LIMITED",72,INV-0801,2,43,11879.03,56778.03,-44899,41,0,38,0,"TTSPL2165|TTSPL5485|TTSPL5205|TTSPL1973|TTSPLGR0127|TTSPL5438|TTSPL5202|TTSPL1967|TTSPL2174|TTSPL3305|TTSPL5206|TTSPL5487|TTSPL5377|TTSPL5313|TTSPL4050|TTSPL4959|TTSPL5199|TTSPL5207|TTSPL2728|TTSPL5420|TTSPL5482|TTSPL3366|TTSPL4904|TTSPL3512|TTSPL3983|TTSPL3769|TTSPL5481|TTSPL5380|TTSPL3338|TTSPL5432|TTSPL5263|TTSPL5429|TTSPL1676|TTSPL5476|TTSPL5442|TTSPL4916|TTSPL5378|TTSPL5489|TTSPL5484|TTSPL5422|TTSPLGR0088",""
"Pibit Technologies Private Limited",48,INV-0799,227,227,1024591.03,992066.85,32524.18,1,0,1,9,"TTSPL4425",""
"PPG ASIAN PAINTS PRIVATE LIMITED",79,INV-0796,16,15,21210.65,41970,-20759.35,0,0,0,1,"",""
"DAWNSUN EXIM CORPORATION",126,INV-0873,2,9,4149,17977,-13828,7,0,7,0,"TTSPL3254|TTSPL2441|-|TRU730|TTSPL2769|TRU1395|TTSPL1265",""
"Maxlence Digital (OPC) Private Limited",211,INV-0906,1,2,8593.55,18432.26,-9838.71,1,0,1,0,"TTSPL4614",""
"Optimizing Resources Private Limited",29,INV-0828,99,106,167574.68,176274.68,-8700,7,0,6,0,"TTSPL2629|TTSPL2942|TTSPL1197|TTSPL1151|TTSPL2302|TTSPL2116|TTSPL7032",""
"SPNN BUSINESS SERVICES PRIVATE LIMITED",256,INV-0909,84,85,154843.17,146201.23,8641.94,1,0,0,1,"TTSPL6663",""
"RHOPHI ANALYTICS LLP (Punjab)",106,INV-0915,44,44,254691.74,247773.64,6918.1,0,0,0,1,"",""
"Dotnova Aitech Private Limited",152,INV-0877,15,16,70248.13,63589.46,6658.67,1,0,1,0,"TTSPL3821",""
"RealVibe digital media pvt ltd",82,INV-0784,2,2,3404.32,9598,-6193.68,2,0,2,2,"TTSPL4885|TTSPL5023",""
"Aamore solutions",125,INV-0786,2,6,2900,8700,-5800,4,0,4,0,"TTSPL4012|TTSPL1470|TTSPL2746|TTSPL2609",""
"IMSUCCESS PRIVATE LIMITED",50,INV-0855,4,5,22449,27949,-5500,1,0,1,0,"TTSPL1467",""
"Prisha Insurance Brokers Pvt Ltd",54,INV-0827,6,6,11731.48,6796,4935.48,0,0,0,2,"",""
"LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED",108,INV-0762,93,92,355663,350814,4849,0,0,0,1,"",""
"ASL GLOBAL ADVISORS PRIVATE LIMITED",198,INV-0813,11,13,26389,31187,-4798,2,0,2,0,"TTSPL6999|TTSPL6984_B",""
"COAL BEAUTY PRIVATE LIMITED",145,INV-0921,5,9,5995,10791,-4796,4,0,4,0,"TTSPL2752|TTSPL1053|TTSPL1007|TTSPL1783",""
"Global Fashion Off Duty Limited",156,INV-0767,22,24,53192.68,57563.26,-4370.58,2,0,2,0,"TTSPL7387|TTSPL7499",""
"Saajha",14,INV-0856,4,6,7678,11658,-3980,2,0,2,0,"TTSPL1010|TTSPL4506",""
"PEOPLE STAFFING SOLUTIONS",7,INV-0884,31,35,30479,34426,-3947,4,0,4,0,"TTSPL4136|TTSPL4049|TTSPL2243|TTSPL1640",""
"ZYKRR TECHNOLOGIES PRIVATE LIMITED",242,INV-0816,38,37,99653.58,95730.82,3922.76,0,0,0,1,"",""
"PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED",8,INV-0930,19,19,32770.36,28901.32,3869.04,0,0,0,2,"",""
"SUKHMAA SONS AND ASSOCIATES",42,INV-0779,12,18,18044.32,21843.28,-3798.96,6,0,4,0,"|TTSPL2386|TTSPL2618|TTSPL3402|TTSPL2323|",""
"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",92,INV-0756,38,43,36862,40558,-3696,5,0,4,0,"TTSPL2341|TTSPL1045|TTSPL1491|TTSPL2633|TTSPL4434",""
"Upila Digital",28,INV-0815,12,12,34924.35,31248.16,3676.19,0,0,0,1,"",""
"Digital Eco Innovision Private Limited",11,INV-0777,27,30,68471.84,72069.84,-3598,3,0,2,0,"TTSPL2343|TTSPL3379|TTSPL6187",""
"DROR SERVICES PRIVATE LIMITED",185,INV-0918,19,20,33981,37398.65,-3417.65,1,0,1,0,"TTSPL3781",""
"RATHAM TECHNOLOGIES LLP",122,INV-0902,59,61,128022.97,131232.29,-3209.32,2,0,1,0,"TTSPL4314|TTSPL6381",""
"MNR Solutions Pvt. Ltd.",178,INV-0920,28,30,32446.13,35646.13,-3200,2,0,2,0,"TTSPL7587|TTSPL7586",""
"SYNERGY SOFTWARES LIMITED",44,INV-0776,3,5,5100,8250,-3150,2,0,2,0,"TTSPL3993|TTSPL5680",""
"Quest Solutions Private Limited",9,INV-0792,43,41,90378.44,87302.49,3075.95,0,0,0,3,"",""
"Sturmfrei Hospitality Pvt. Ltd",281,INV-0802,5,6,16495,19494,-2999,0,0,1,0,"",""
"CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED",207,INV-0868,68,69,103255.48,100451.61,2803.87,1,0,1,5,"TTSPL6080-A",""
"VIRALCURRY DIGITAL PRIVATE LIMITED",17,INV-0814,6,8,8526.45,11206.45,-2680,2,0,2,0,"TTSPL1769|TTSPL2347",""
"NOTUS SERVICES PRIVATE LIMITED",61,INV-0805,20,20,31197.19,28683,2514.19,0,0,0,3,"",""
"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",94,INV-0901,188,192,502076.26,504575.24,-2498.98,5,1,2,1,"TTSPL6984_A|TTSPL5116|TTSPL4118|TTSPL4582|TTSPL6433.","TTSPL6984"
"COSMO BRANDS PRIVATE LIMITED",118,INV-0861,9,11,11646,14026,-2380,2,0,2,0,"TTSPL1709|TTSPL2219",""
"ERA BOTANICS PRIVATE LIMITED",33,INV-0912,17,18,35570.58,37869.58,-2299,1,0,1,0,"TTSPL6320",""
"XSKY LOUNGE HOSPITALITY PRIVATE LIMITED",200,INV-0774,1,2,2899,5121.57,-2222.57,1,0,1,0,"TTSPL4801",""
"SHINENPRIME HEALTHCARE PRIVATE LIMITED",261,INV-0775,18,20,20953.74,23152.76,-2199.02,3,1,3,1,"TTSPL6671_B|TTSPL6676_B|TTSPL1055","TTSPL6676-A"
"ABJAYON CONSULTANCY PRIVATE LIMITED",206,INV-0879,26,28,52754,54952.77,-2198.77,2,0,2,0,"TTSPL6559_B|TTSPL6058",""
"SLEEP MANAGEMENT PRIVATE LIMITED(New)",41,INV-0878,95,95,207548.35,205549.35,1999,0,0,0,1,"",""
"Mercury Solutions Limited",26,INV-0798,33,34,57255.77,59154.78,-1899.01,1,0,1,0,"TTSPL7198",""
"MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED",6,INV-0841,29,30,63098,64898,-1800,1,0,1,0,"TTSPL1056",""
"Nexthire LLP",52,INV-0750,5,6,4995,6795,-1800,1,0,1,0,"TTSPL7148",""
"EXOTALENT CONSULTANCY SERVICES LLP",182,INV-0911,4,5,7238.97,5498,1740.97,0,0,0,1,"",""
"Research Nester Private Limited",20,INV-0910,51,56,54881.32,56395.65,-1514.33,6,0,5,3,"TTSPL1536|TTSPL2121|TTSPL1036|TTSPL1826|TTSPL2570|TTSPL3208",""
