sheet_client,customer_name,customer_id,invoice,sheet_count,crm_invoice_count,count_diff,sheet_price,crm_invoice_price,price_diff,extras_count,extras,missing_on_invoice,action_needed
Parts Avatar India Pvt. Ltd.,PARTS AVATAR INDIA PRIVATE LIMITED,72,INV-0801,2,40,-38,11879.03,56778.03,-44899,41,TTSPL2165|TTSPL5485|TTSPL5205|TTSPL1973|TTSPLGR0127|TTSPL5438|TTSPL5202|TTSPL1967|TTSPL2174|TTSPL3305|TTSPL5206|TTSPL5487|TTSPL5377|TTSPL5313|TTSPL4050|TTSPL4959|TTSPL5199|TTSPL5207|TTSPL2728|TTSPL5420|TTSPL5482|TTSPL3366|TTSPL4904|TTSPL3512|TTSPL3983|TTSPL3769|TTSPL5481|TTSPL5380|TTSPL3338|TTSPL5432|TTSPL5263|TTSPL5429|TTSPL1676|TTSPL5476|TTSPL5442|TTSPL4916|TTSPL5378|TTSPL5489|TTSPL5484|TTSPL5422|TTSPLGR0088,,EXCLUDE_41_EXTRAS_FROM_AUG_INVOICE
Pibit Technologies Pvt. Ltd.,Pibit Technologies Private Limited,48,INV-0799,227,219,8,1024591.03,992066.85,32524.18,1,TTSPL4425,TTSPL5256|TTSPL7287|TTSPL7429|TTSPL7427|TTSPL7494|TTSPL7426|TTSPL7566|TTSPL7567|TTSPL7572,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE+ADD_MISSING_TO_INVOICE
PPG Asian Paint,PPG ASIAN PAINTS PRIVATE LIMITED,79,INV-0796,16,15,1,21210.65,41970,-20759.35,0,,TTSPL3237,ADD_MISSING_TO_INVOICE
Dawnsun Exim Corporation,DAWNSUN EXIM CORPORATION,126,INV-0873,2,9,-7,4149,17977,-13828,7,TTSPL3254|TTSPL2441|-|TRU730|TTSPL2769|TRU1395|TTSPL1265,,EXCLUDE_7_EXTRAS_FROM_AUG_INVOICE
Maxlence Digital (OPC) Private Limited,Maxlence Digital (OPC) Private Limited,211,INV-0906,1,2,-1,8593.55,18432.26,-9838.71,1,TTSPL4614,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
Optimizing Resources Private Limited,Optimizing Resources Private Limited,29,INV-0828,99,105,-6,167574.68,176274.68,-8700,7,TTSPL2629|TTSPL2942|TTSPL1197|TTSPL1151|TTSPL2302|TTSPL2116|TTSPL7032,,EXCLUDE_7_EXTRAS_FROM_AUG_INVOICE
SPNN BUSINESS SERVICES PRIVATE LIMITED,SPNN BUSINESS SERVICES PRIVATE LIMITED,256,INV-0909,84,83,1,154843.17,146201.23,8641.94,1,TTSPL6663,TTSPL7123,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE+ADD_MISSING_TO_INVOICE
RHOPHI ANALYTICS LLP,RHOPHI ANALYTICS LLP (Punjab),106,INV-0915,44,43,1,254691.74,247773.64,6918.1,0,,TTSPL5224,ADD_MISSING_TO_INVOICE
Dotnova Aitech Private Limited,Dotnova Aitech Private Limited,152,INV-0877,15,16,-1,70248.13,63589.46,6658.67,1,TTSPL3821,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
ClickOnik Digital Media Pvt Ltd,RealVibe digital media pvt ltd,82,INV-0784,2,2,0,3404.32,9598,-6193.68,2,TTSPL4885|TTSPL5023,TTSPL4910|TTSPL7406,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE+ADD_MISSING_TO_INVOICE
Aamore Solutions,Aamore solutions,125,INV-0786,2,6,-4,2900,8700,-5800,4,TTSPL4012|TTSPL1470|TTSPL2746|TTSPL2609,,EXCLUDE_4_EXTRAS_FROM_AUG_INVOICE
IMSUCCESS PRIVATE LIMITED,IMSUCCESS PRIVATE LIMITED,50,INV-0855,4,5,-1,22449,27949,-5500,1,TTSPL1467,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
Prisha Insurance Brokers Pvt Ltd,Prisha Insurance Brokers Pvt Ltd,54,INV-0827,6,4,2,11731.48,6796,4935.48,0,,TTSPL7446|TTSPL7431,ADD_MISSING_TO_INVOICE
LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,108,INV-0762,93,92,1,355663,350814,4849,0,,TTSPL4425,ADD_MISSING_TO_INVOICE
ASL GLOBAL ADVISORS PRIVATE LIMITED,ASL GLOBAL ADVISORS PRIVATE LIMITED,198,INV-0813,11,13,-2,26389,31187,-4798,2,TTSPL6999|TTSPL6984_B,,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE
COAL BEAUTY PRIVATE LIMITED,COAL BEAUTY PRIVATE LIMITED,145,INV-0921,5,9,-4,5995,10791,-4796,4,TTSPL2752|TTSPL1053|TTSPL1007|TTSPL1783,,EXCLUDE_4_EXTRAS_FROM_AUG_INVOICE
Global Fashion Off Duty Limited,Global Fashion Off Duty Limited,156,INV-0767,22,24,-2,53192.68,57563.26,-4370.58,2,TTSPL7387|TTSPL7499,,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE
Saajha,Saajha,14,INV-0856,4,6,-2,7678,11658,-3980,2,TTSPL1010|TTSPL4506,,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE
People Staffing Solutions,PEOPLE STAFFING SOLUTIONS,7,INV-0884,31,35,-4,30479,34426,-3947,4,TTSPL4136|TTSPL4049|TTSPL2243|TTSPL1640,,EXCLUDE_4_EXTRAS_FROM_AUG_INVOICE
ZYKRR TECHNOLOGIES PRIVATE LIMITED,ZYKRR TECHNOLOGIES PRIVATE LIMITED,242,INV-0816,38,37,1,99653.58,95730.82,3922.76,0,,TTSPL6936,ADD_MISSING_TO_INVOICE
Pernimius Financial Technologies Pvt Ltd,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,8,INV-0930,19,17,2,32770.36,28901.32,3869.04,0,,TTSPL7552|TTSPL7559,ADD_MISSING_TO_INVOICE
SUKHMAA SONS AND ASSOCIATES,SUKHMAA SONS AND ASSOCIATES,42,INV-0779,12,16,-4,18044.32,21843.28,-3798.96,6,|TTSPL2386|TTSPL2618|TTSPL3402|TTSPL2323|,,EXCLUDE_6_EXTRAS_FROM_AUG_INVOICE
URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,92,INV-0756,38,42,-4,36862,40558,-3696,5,TTSPL2341|TTSPL1045|TTSPL1491|TTSPL2633|TTSPL4434,,EXCLUDE_5_EXTRAS_FROM_AUG_INVOICE
Upila Digital,Upila Digital,28,INV-0815,12,11,1,34924.35,31248.16,3676.19,0,,TTSPL4226,ADD_MISSING_TO_INVOICE
Digital Eco Innovision Private Limited,Digital Eco Innovision Private Limited,11,INV-0777,27,29,-2,68471.84,72069.84,-3598,3,TTSPL2343|TTSPL3379|TTSPL6187,,EXCLUDE_3_EXTRAS_FROM_AUG_INVOICE
DROR SERVICES PRIVATE LIMITED,DROR SERVICES PRIVATE LIMITED,185,INV-0918,19,20,-1,33981,37398.65,-3417.65,1,TTSPL3781,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
