customer_id,customer_name,sheet_client,serial_id,ttspl,serial,status,rate,rent_start,proposed_action
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED","FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart)",3591,TTSPL6984_A,5CG2146Y91_A,rented,2699,2026-02-28,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED","FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart)",1461,TTSPL5116,PG04GTJM,rented,2499,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED","FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart)",1346,TTSPL4118,JL6S303,returned,1685.9,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED","FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart)",1363,TTSPL4582,39P2BC3,returned,2069.23,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
94,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED","FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart)",2513,TTSPL6433.,32PXVM3.,returned,2069.23,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
200,"XSKY LOUNGE HOSPITALITY PRIVATE LIMITED","Xsky",51,TTSPL4801,4D7F1J3,rented,2222.57,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
152,"Dotnova Aitech Private Limited","Dotnova Aitech Private Limited",751,TTSPL3821,26DPK12,rented,1199,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
6,"MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED","MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED",870,TTSPL1056,DMDCQH2,rented,1800,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
111,"COSMOFEED TECHNOLOGIES PVT LTD","COSMOFEED TECHNOLOGIES PRIVATE LIMITED",369,TTSPL1459,5CD72091BX,rented,999,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
7,"PEOPLE STAFFING SOLUTIONS","People Staffing Solutions",543,TTSPL4136,957ZFH2,rented,999,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
7,"PEOPLE STAFFING SOLUTIONS","People Staffing Solutions",549,TTSPL4049,5CG7021JXT,rented,999,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
7,"PEOPLE STAFFING SOLUTIONS","People Staffing Solutions",555,TTSPL2243,DC37GH2,rented,950,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
7,"PEOPLE STAFFING SOLUTIONS","People Staffing Solutions",544,TTSPL1640,GF97PH2,rented,999,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
11,"Digital Eco Innovision Private Limited","Digital Eco Innovision Private Limited",641,TTSPL2343,G5VG8H2,rented,1799,2026-05-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
11,"Digital Eco Innovision Private Limited","Digital Eco Innovision Private Limited",2025,TTSPL3379,43QNGH2,rented,1799,2026-04-10,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
11,"Digital Eco Innovision Private Limited","Digital Eco Innovision Private Limited",3339,TTSPL6187,PF1BWEVP,returned,267.75,2026-02-24,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
17,"VIRALCURRY DIGITAL PRIVATE LIMITED","Viralcurry Digital Private Limited",2,TTSPL1769,8GKJ882,rented,1340,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
17,"VIRALCURRY DIGITAL PRIVATE LIMITED","Viralcurry Digital Private Limited",5,TTSPL2347,16FRX52,rented,1340,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
14,"Saajha","Saajha",105,TTSPL1010,FVTBQH2,rented,1990,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
14,"Saajha","Saajha",106,TTSPL4506,2SR7RC2,rented,1990,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
48,"Pibit Technologies Private Limited","Pibit Technologies Pvt. Ltd.",2153,TTSPL4425,K7593PK7C7,rented,4849,2026-06-08,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
50,"IMSUCCESS PRIVATE LIMITED","IMSUCCESS PRIVATE LIMITED",2263,TTSPL1467,C02G7E4SQ6L4,rented,5500,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
26,"Mercury Solutions Limited","Mercury Solutions Limited",3857,TTSPL7198,R913GZ5L,rented,1899,2026-05-29,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
118,"COSMO BRANDS PRIVATE LIMITED","COSMO BRANDS PRIVATE LIMITED",597,TTSPL1709,5CG6091XQL,rented,1190,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
118,"COSMO BRANDS PRIVATE LIMITED","COSMO BRANDS PRIVATE LIMITED",596,TTSPL2219,5CG52656XJ,rented,1190,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
122,"RATHAM TECHNOLOGIES LLP","G N APNA UDYOG LLP (AU Logistics)/RATHAM TECHNOLOGIES LLP",666,TTSPL4314,JC7J3B3,rented,3199,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
122,"RATHAM TECHNOLOGIES LLP","G N APNA UDYOG LLP (AU Logistics)/RATHAM TECHNOLOGIES LLP",3631,TTSPL6381,PG02HTY3,returned,1478.57,2026-02-04,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
20,"Research Nester Private Limited","RESEARCH NESTER PRIVATE LIMITED",3007,TTSPL1536,6CR6086GJ0,rented,599,2026-02-24,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
20,"Research Nester Private Limited","RESEARCH NESTER PRIVATE LIMITED",981,TTSPL2121,7MTWF02,rented,599,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
20,"Research Nester Private Limited","RESEARCH NESTER PRIVATE LIMITED",985,TTSPL1036,2B5CQH2,rented,899,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
20,"Research Nester Private Limited","RESEARCH NESTER PRIVATE LIMITED",990,TTSPL1826,5CG7021WWB,rented,899,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
20,"Research Nester Private Limited","RESEARCH NESTER PRIVATE LIMITED",999,TTSPL2570,R82MWCX,rented,599,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
20,"Research Nester Private Limited","RESEARCH NESTER PRIVATE LIMITED",991,TTSPL3208,R90MWAJV,returned,689.23,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
62,"Pas Digital Pvt Ltd","Pas Digital Pvt Ltd",3315,TTSPL4155,5CD6400VHM,rented,1499,2026-04-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
29,"Optimizing Resources Private Limited","Optimizing Resources Private Limited",1729,TTSPL2629,5X0VYF2,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
29,"Optimizing Resources Private Limited","Optimizing Resources Private Limited",1734,TTSPL2942,DWCP0G2,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
29,"Optimizing Resources Private Limited","Optimizing Resources Private Limited",1739,TTSPL1197,5CG515112R,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
29,"Optimizing Resources Private Limited","Optimizing Resources Private Limited",1738,TTSPL1151,CNU4269X8S,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
29,"Optimizing Resources Private Limited","Optimizing Resources Private Limited",1750,TTSPL2302,5CG4501JPW,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
