customer_name,sheet_client_name,customer_id,invoice_number,sheet_total_count,crm_total_count,count_diff,count_match,sheet_total_price,crm_invoice_price,price_diff,price_match,crm_catchup_count,crm_catchup_amount,sheet_catchup_count,matched_assets,missing_on_invoice_count,extra_on_invoice_count,missing_on_invoice,extra_on_invoice,aligned
 CoreOps.AI,CoreOps.AI,970,INV-0747,2,2,0,YES,22046.32,22046.32,0,YES,1,548.32,1,2,0,0,,,YES
24X7 STORE PRIVATE LIMITED,24X7 STORE PRIVATE LIMITED,24,INV-0896,5,5,0,YES,7496,7496,0,YES,0,0,0,5,0,0,,,YES
4 PROSPER TECHNOLOGIES PRIVATE LIMITED,4 PROSPER TECHNOLOGIES PRIVATE LIMITED,265,INV-0862,23,23,0,YES,33397,33397,0,YES,0,0,0,23,0,0,,,YES
86 AGENCY,86 AGENCY,128,INV-0872,5,5,0,YES,9995,9995,0,YES,0,0,0,5,0,0,,,YES
AA Consultant,AA Consultants,124,INV-0772,1,1,0,YES,1600,1600,0,YES,0,0,0,1,0,0,,,YES
Aamore solutions,Aamore Solutions,125,INV-0786,2,6,-4,NO,2900,8700,-5800,NO,0,0,0,2,0,4,,TTSPL4012|TTSPL1470|TTSPL2746|TTSPL2609,NO
ABJAYON CONSULTANCY PRIVATE LIMITED,Abjayon Consultancy Pvt. Ltd.,206,INV-0879,26,28,-2,NO,52754,54952.77,-2198.77,NO,0,0,0,26,0,2,,TTSPL6559_B|TTSPL6058,NO
Accelerate Media Private Limited,Accelerate Media Private Limited,144,INV-0845,1,1,0,YES,1799,1799,0,YES,0,0,0,1,0,0,,,YES
AGILE VENTURES PRIVATE LIMITED,AGILE VENTURES PRIVATE LIMITED,110,INV-0919,1,1,0,YES,1999,1999,0,YES,0,0,0,1,0,0,,,YES
Aim Plus Staffing Solutions,Aim Plus Staffing Solutions,130,INV-0934,7,7,0,YES,12179,12179,0,YES,0,0,0,7,0,0,,,YES
AKSUM TRADEMART PRIVATE LIMITED,Aksum Trademart Pvt Ltd,135,INV-0769,8,8,0,YES,16173.42,16173.42,0,YES,3,2577.42,3,8,0,0,,,YES
ALL INDIA ASIAN EDUCATIONAL FOUNDATION,All India Asian Educational Foundation,154,INV-0904,20,20,0,YES,31980,31980,0,YES,0,0,0,20,0,0,,,YES
ALLYVENTURE (INDIA) PRIVATE LIMITED,Allyventure (India) Private Limited,226,INV-0797,4,4,0,YES,7996,7996,0,YES,0,0,0,4,0,0,,,YES
Alpha Rites,Alpha Rites,227,INV-0773,3,3,0,YES,6597,6597,0,YES,0,0,0,3,0,0,,,YES
Amar Amba Finance Hire Purchase Private Limited,AMAR AMBA FINANCE HIRE PURCHASE PRIVATE LIMITED,255,INV-0940,9,9,0,YES,11343,11343,0,YES,0,0,0,9,0,0,,,YES
ANTINO LABS PRIVATE LIMITED,Antino Labs Private Limited,120,INV-0794,65,66,-1,NO,125367.61,125367.61,0,YES,2,1080.61,2,65,0,1,,TTSPL1942,NO
ASL GLOBAL ADVISORS PRIVATE LIMITED,ASL GLOBAL ADVISORS PRIVATE LIMITED,198,INV-0813,11,13,-2,NO,26389,31187,-4798,NO,0,0,0,11,0,2,,TTSPL6999|TTSPL6984_B,NO
ATTITUDE EVENETS PRIVATE LIMITED,ATTITUDE EVENETS PRIVATE LIMITED,,,21,0,21,NO,36066.94,0,36066.94,NO,0,0,3,0,21,0,TTSPL2921|TTSPL3802|TTSPL2097|TTSPL1421|TTSPL2962|TTSPL4884|TTSPL4913|TTSPL3430|TTSPL5231|TTSPL4956|TTSPL6712|TTSPL6284|TTSPL4219|TTSPL6451|TTSPL6704|TTSPL5027|TTSPL4217|TTSPL4037|TTSPL4432|TTSPL7380|TTSPL7525,,NO
Auraa Coordination & Productions Pvt Ltd,Auraa Coordination & Productions Pvt Ltd,222,INV-0886,3,3,0,YES,4797,4797,0,YES,0,0,0,3,0,0,,,YES
AWL India Private Limited,AWL India Private Limited,177,INV-0908,5,5,0,YES,7000,7000,0,YES,0,0,0,5,0,0,,,YES
B2C (Pranshu Sharma),B2C (Pranshu Sharma),224,INV-0880,1,1,0,YES,2966,2966,0,YES,0,0,0,1,0,0,,,YES
Bench Kart Services Pvt Ltd,Bench Kart Services Pvt Ltd,,,8,0,8,NO,11433,0,11433,NO,0,0,0,0,8,0,TTSPL1426|TTSPL3917|TTSPL1885|TTSPL2941|TTSPL5317|TTSPL2935|TTSPL1588|TTSPL2762,,NO
Beom Commerce Private Limited,Beom Commerce Private Limited,131,INV-0935,10,9,1,NO,11190.32,12600,-1409.68,NO,4,1150,5,9,1,0,TTSPL7476,,NO
