customerName,totalActive,totalPrice,sheetPrice,sheetActive,status
 CoreOps.AI,2,22046.32,22046.32,2,Matched
24X7 STORE PRIVATE LIMITED,5,7496,7496,5,Matched
4 PROSPER TECHNOLOGIES PRIVATE LIMITED,23,33397,33397,23,Matched
86 AGENCY,5,9995,9995,5,Matched
AA Consultant,1,1600,1600,1,Matched
Aamore solutions,6,8700,8700,6,Matched
ABJAYON CONSULTANCY PRIVATE LIMITED,28,54952.77,54952,27,Matched
Accelerate Media Private Limited,1,1799,1799,1,Matched
AGILE VENTURES PRIVATE LIMITED,1,1999,1999,1,Matched
Aim Plus Staffing Solutions,7,12179,13679,8,Not matched
AKSUM TRADEMART PRIVATE LIMITED,8,16173.42,16173.42,8,Matched
ALL INDIA ASIAN EDUCATIONAL FOUNDATION,20,31980,31980,20,Matched
ALLYVENTURE (INDIA) PRIVATE LIMITED,4,7996,7996,4,Matched
Alpha Rites,3,6597,6597,3,Matched
Amar Amba Finance Hire Purchase Private Limited,9,11343,12692,10,Not matched
ASL GLOBAL ADVISORS PRIVATE LIMITED,12,28788,28788,12,Matched
ATTITUDE EVENETS PRIVATE LIMITED,0,0,36066.94,21,Not matched
Auraa Coordination & Productions Pvt Ltd,3,4797,4797,3,Matched
AWL India Private Limited,5,7000,7000,5,Matched
B2C (Pranshu Sharma),1,2966,2966,1,Matched
Benchkart Services Private Limited,10,14031,14031,10,Matched
Beom Commerce Private Limited,10,11190.32,11190.32,10,Matched
Bergen Associated Pvt Ltd,0,0,3840,2,Not matched
BIODEAL PHARMACEUTICALS LIMITED,50,75945,75945,50,Matched
BIOSKY SPACE INNOVATIONS PRIVATE LIMITED,4,16696,16696,4,Matched
BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,23,27248,27248,23,Matched
BLUEJAY WORKTECH PRIVATE LIMITED,24,36078,36078,24,Matched
BMRV Engineering Consultants LLP,13,25788,25788,13,Matched
BPB Online LLP,20,36578,36578,20,Matched
BRAINBOX NETWORK,17,30141.48,30141,17,Matched
BROWN ALLIGATOR,1,1699,1699,1,Matched
CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,68,103257.09,103255.48,68,Not matched
CDBASE SOLUTIONS INDIA PRIVATE LIMITED,25,52475,52475,25,Matched
CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,17,33079.38,33079.39,17,Matched
CIPHERBEAT LLP,1,1699,1699,1,Matched
Clanify Media Private Limited,16,25155.3,25155.29,16,Matched
Clickonik Digital Private Limited,2,3404.32,3404.32,2,Matched
COAL BEAUTY PRIVATE LIMITED,9,10791,10791,9,Matched
COSMO BRANDS PRIVATE LIMITED,11,14026,14026,11,Matched
COSMOFEED TECHNOLOGIES PVT LTD,42,89752.45,89752.45,42,Matched
DASH AST TECHNOLOGY LLP,2,1998,1998,2,Matched
DAWNSUN EXIM CORPORATION,6,12489,12489,6,Matched
Dawnsun Kyosei,0,0,5488,3,Not matched
DELFIN TECHNOLOGIES INDIA PRIVATE LIMITED,9,37991,37991,9,Matched
DELPHI INFOTECH PRIVATE LIMITED,1,1399,1399,1,Matched
DIGEESELL MEDIA SOLUTIONS PRIVATE LIMITED,3,5147,5147,3,Matched
Digital Eco Innovision Private Limited,29,72069.84,72069.84,29,Matched
Digital Nirvana Information Systems Pvt Ltd,11,28302.63,28234.94,11,Not matched
Dipanshu Mutreja,1,1999,1999,1,Matched
Dotnova Aitech Private Limited,16,71447.14,71447.13,16,Matched
DROR SERVICES PRIVATE LIMITED,19,33981,33981,19,Matched
E N COMMUNICATION PRIVATE LIMITED,10,17990,17990,10,Matched
Easy Fix Handy Solutions India Private Limited,26,37199,37199,26,Matched
EasyRewardz Software Services Private Limited,26,39649,39649,26,Matched
ELEVONDATA LABS PRIVATE LIMITED,9,22091,22091,9,Matched
Elysium Labs Pvt Ltd,24,47235.61,47235.61,24,Matched
ENCUBATE TECH PRIVATE LIMITED,2,5198,5198,2,Matched
ENHANCED WAPP SYSTEMS INDIA PRIVATE LIMITED (HR),1,2499,2499,1,Matched
EPIC (INDIA) TOURS AND EVENTS PRIVATE LIMITED,12,32562.68,32562.68,12,Matched
ERA BOTANICS PRIVATE LIMITED,17,35570.58,35570.58,17,Matched
EVENTIVE COMMUNICATIONS LLP,12,29788,29788,12,Matched
EVERSOFT TECHNOLOGIES PRIVATE LIMITED,11,13189,13189,11,Matched
EXIMPLE TECHNOLOGIES PRIVATE LIMITED,7,11194,11194,7,Matched
EXOTALENT CONSULTANCY SERVICES LLP,4,7238.97,7238.97,4,Matched
FLEET LABS TECHNOLOGIES PRIVATE LIMITED,188,502076.24,502076.26,188,Matched
Flights Mojo Bookings Private Limited,1,6000,6000,1,Matched
Girish Srikrishna Paranjpe,7,21524,21524,7,Matched
Global Fashion Off Duty Limited,22,53192.68,56673.32,24,Not matched
GODASH SOLUTIONS PRIVATE LIMITED,10,18531.32,18531.32,10,Matched
GOOLEAN TECHNOLOGIES PRIVATE761976109 LIMITED,7,15704.32,16284.67,8,Not matched
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,28,56797.16,56797.16,28,Matched
