issue_type,why_category,why_detail,serial_id,ttspl_id,ups,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,dispatch_mode,rent_start_date,serial_dispatched_at_ist,serial_delivered_at_ist,current_dc_number,days_rent_start_minus_serial_delivered,rent_billed_until,billing_impact
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,272,TTSPL3059,TTSPL3059,MNNMBNV,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5410,2500.00,,2026-02-06,,2026-07-18,DC-000373,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,269,TTSPL3182,TTSPL3182,PF227WN2,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,T-490,2500.00,,2026-02-06,,2026-07-18,DC-000370,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,1038,TTSPL3469,TTSPL3469,9KRL2J3,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5420,3500.00,,2026-06-01,,2026-07-18,DC/26-27/0533,-47,2026-06-30,Overbills 47 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,56,TTSPL3477,TTSPL3477,F5R92J3,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5420,3999.00,,2026-04-08,,2026-07-18,DC-003589,-101,2026-06-30,Overbills 101 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,294,TTSPL3719,TTSPL3719,1M381J3,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5420,3499.00,,2026-02-06,,2026-07-18,DC-000395,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,787,TTSPL3734,TTSPL3734,JYH42F3,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5420,3999.00,,2026-04-08,,2026-07-18,DC-003589,-101,2026-06-30,Overbills 101 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,3767,TTSPL3737,TTSPL3737,F6CK1J3,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5420,3500.00,inhouse,2026-07-07,,2026-07-18,DC/26-27/0762,-11,,Overbills 11 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,271,TTSPL3783,TTSPL3783,1KYQ793,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5410,2500.00,,2026-02-06,,2026-07-18,DC-000372,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,2087,TTSPL3977,TTSPL3977,J4YN8S3,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 3420,1.00,,2026-02-06,,2026-07-18,DC-000434,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,311,TTSPL3986,TTSPL3986,CND1234MFM,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,HP Elitebook X360 1040 G8,3500.00,,2026-02-06,,2026-07-18,DC-000414,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,1060,TTSPL4009,TTSPL4009,CND1234ZYM,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,HP Elitebook X360 1040 G8,3499.00,,2026-04-24,,2026-07-18,DC-003773,-85,2026-06-30,Overbills 85 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,282,TTSPL4087,TTSPL4087,F1TX303,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5310,2500.00,,2026-02-06,,2026-07-18,DC-000383,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,1307,TTSPL4192,TTSPL4192,CND1361TQL,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,HP Elitebook X360 1040 G8,3500.00,,2026-04-08,,2026-07-18,DC-003589,-101,2026-06-30,Overbills 101 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,314,TTSPL4195,TTSPL4195,CND1235182,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,HP Elitebook X360 1040 G8,3500.00,,2026-02-06,,2026-07-18,DC-000417,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,275,TTSPL4248,TTSPL4248,5RWFFL3,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5320,3500.00,,2026-02-06,,2026-07-18,DC-000376,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,278,TTSPL4262,TTSPL4262,CND1234ZL8,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,HP Elitebook X360 1040 G8,3500.00,,2026-02-06,,2026-07-18,DC-000379,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,281,TTSPL4292,TTSPL4292,8RHKP93,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5320,3500.00,,2026-02-06,,2026-07-18,DC-000382,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,283,TTSPL4296,TTSPL4296,CND1387HC7,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,HP Elitebook X360 1030 G8,3500.00,,2026-02-06,,2026-07-18,DC-000384,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,284,TTSPL4297,TTSPL4297,CND1387HCK,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,HP Elitebook X360 1030 G8,3500.00,,2026-02-06,,2026-07-18,DC-000385,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,286,TTSPL4299,TTSPL4299,CND1387HCD,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,HP Elitebook X360 1030 G8,3500.00,,2026-02-06,,2026-07-18,DC-000387,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,1082,TTSPL4300,TTSPL4300,66Z95B3,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5320,3499.00,,2026-04-13,,2026-07-18,DC-003651,-96,2026-06-30,Overbills 96 day(s) vs serial.delivered_at
RENT_START_VS_SERIAL_DELIVERED_MISMATCH,RENT_START_NE_SERIAL_DELIVERED_AT,rent_start_differs_from_serial_delivered_at|no_conflicting_current_dc_delivery_or_no_dc,287,TTSPL4307,TTSPL4307,GRF53B3,101,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,Dell,Dell Latitude 5320,3500.00,,2026-02-06,,2026-07-18,DC-000388,-162,2026-06-30,Overbills 162 day(s) vs serial.delivered_at
