TTSPL,Serial,InventoryStatus,CurrentCustomerId,RentStart,MonthlyRate,SO,SOLineId,SOCustomerId,SOSupplyState,OutboundDC,OutboundDelivered,ReturnDC,ReturnDelivered
TTSPL6067,10P5V93,returned,,2026-02-06,1500.00,SO-002799,2799,988,delhi,DC-002799,2026-02-06,RDC001982,2026-08-11
TTSPL6782,JYP1T93,returned,,2026-02-06,1500.00,SO-002802,2802,988,delhi,DC-002802,2026-02-06,RDC001986,2026-08-11
TTSPL6345,FMR1T93,returned,,2026-02-06,1500.00,SO-002803,2803,988,delhi,DC-002803,2026-02-06,RDC001979,2026-08-11
TTSPL6543,7673C63,returned,,2026-02-06,1500.00,SO-002808,2808,988,delhi,DC-002808,2026-02-06,RDC002081,2026-08-19
TTSPL6242,129Q463,returned,,2026-02-11,1500.00,SO-002932,2932,988,delhi,DC-002926,2026-02-11,RDC001976,2026-08-11
TTSPL6486,2FQM763,returned,,2026-02-12,1500.00,SO-002954,2954,988,delhi,DC-002947,2026-02-12,RDC001978,2026-08-11
TTSPL6165,PF1BWVHC,returned,,2026-02-24,1500.00,SO-003110,3110,988,delhi,DC-003080,2026-02-24,RDC001977,2026-08-11
TTSPL6911,PF22M2NY,returned,,2026-02-24,1500.00,SO-003110,3110,988,delhi,DC-003080,2026-02-24,RDC001984,2026-08-11
TTSPL6115,PF22M76P,rented,988,2026-02-24,1500.00,SO-003110,3110,988,delhi,DC-003080,2026-02-24,,
TTSPL6493,F2PS103,returned,,2026-04-07,1500.00,SO-003641,3641,988,delhi,DC-003559,2026-04-07,RDC001981,2026-08-11
TTSPL6501,4C63C63,returned,,2026-04-16,1500.00,SO-003797,3797,988,delhi,DC-003696,2026-04-15,RDC001975,2026-08-11
TTSPL6233,26SM763,returned,,2026-04-16,1500.00,SO-003797,3797,988,delhi,DC-003696,2026-04-15,RDC001985,2026-08-11
TTSPL6446,93P6V93,returned,,2026-02-12,1500.00,SO-002956,2956,988,delhi,DC-002949,2026-02-12,RDC001983,2026-08-11
TTSPL2987,58JVCB3,rented,988,2026-07-02,1500.00,SO/26-27/0833,4735,988,delhi,DC/26-27/0807,2026-07-02,RDC000917,2026-05-01
