TTSPL,Serial,InventoryStatus,CurrentCustomerId,RentStart,MonthlyRate,SO,SOLineId,SOCustomerId,SOSupplyState,OutboundDC,OutboundDelivered,ReturnDC,ReturnDelivered
TTSPL6731,1DQM763,rented,986,2026-02-20,1500.00,SO-002989,2989,986,karnataka,DC-002978,2026-02-20,,
TTSPL6482,BPN6V93,rented,986,2026-02-20,1500.00,SO-002989,2989,986,karnataka,DC-002978,2026-02-20,,
TTSPL6721,7GP5V93,rented,986,2026-02-26,1500.00,SO-003144,3144,986,karnataka,DC-003113,2026-02-26,,
TTSPL6777,17SM763,rented,986,2026-02-26,1500.00,SO-003144,3144,986,karnataka,DC-003113,2026-02-26,,
TTSPL6783,DQP5V93,rented,986,2026-02-26,1500.00,SO-003144,3144,986,karnataka,DC-003113,2026-02-26,,
TTSPL6262,4FQM763,rented,986,2026-02-26,1500.00,SO-003144,3144,986,karnataka,DC-003113,2026-02-26,,
TTSPL6286,DDQ1T93,rented,986,2026-02-26,1500.00,SO-003144,3144,986,karnataka,DC-003113,2026-02-26,RDC000337,2026-02-23
TTSPL6080,CSSS103,rented,986,2026-08-01,1349.00,SO-003449,3449,255,haryana,DC-003389,2026-03-21,RDC000548,2026-03-21
TTSPL5160,PF1TAY1C,rented,986,2026-02-27,1500.00,SO-003156,3162,985,maharashtra,DC-003125,2026-02-27,,
TTSPL6239,F3Q5V93,rented,986,2026-02-27,1500.00,SO-003156,3156,985,maharashtra,DC-003125,2026-02-27,,
TTSPL6914,PF2QDGLS,rented,986,2026-02-27,1500.00,SO-003156,3162,985,maharashtra,DC-003125,2026-02-27,,
TTSPL4704,PF31MKPA,rented,986,2026-02-27,1500.00,SO-003169,3169,986,karnataka,DC-003137,2026-02-27,RDC000307,2026-02-21
TTSPL3008,JRDXL63,rented,986,2026-03-26,1500.00,SO-003454,3454,986,karnataka,DC-003394,2026-03-26,,
TTSPL3784,F13JDB3,rented,986,2026-03-26,1500.00,SO-003454,3454,986,karnataka,DC-003394,2026-03-26,,
TTSPL3798,867P693,rented,986,2026-03-26,1500.00,SO-003454,3454,986,karnataka,DC-003394,2026-03-26,RDC000467,2026-03-11
TTSPL3787,7QJHDB3,rented,986,2026-03-27,1500.00,SO-003478,3479,986,karnataka,DC-003415,2026-03-27,,
TTSPL3038,B0DW373,rented,986,2026-03-27,1500.00,SO-003478,3478,986,karnataka,DC-003415,2026-03-27,RDC001786,
TTSPL6463,4Q83C63,rented,986,2026-08-01,1349.00,SO/26-27/1064,5006,986,karnataka,DC/26-27/1036,2026-08-03,RDC001837,2026-07-29
