TTSPL,Serial,InventoryStatus,CurrentCustomerId,RentStart,MonthlyRate,SO,SOLineId,SOCustomerId,SOSupplyState,OutboundDC,OutboundDelivered,ReturnDC,ReturnDelivered
TTSPL6235,8C63C63,rented,985,2026-02-12,1500.00,SO-002956,2956,988,delhi,DC-002949,2026-02-12,,
TTSPL6467,4SS5103,rented,985,2026-02-12,1500.00,SO-002953,2953,985,maharashtra,DC-002946,2026-02-12,,
TTSPL6271,F3QM763,rented,985,2026-04-29,1500.00,SO-003916,3916,987,telangana,DC-003810,2026-04-29,,
TTSPL6736,3PP5V93,rented,985,2026-02-12,1500.00,SO-002956,2956,988,delhi,DC-002949,2026-02-12,,
TTSPL6789,7YP1T93,rented,985,2026-02-12,1500.00,SO-002956,2956,988,delhi,DC-002949,2026-02-12,,
TTSPL6605,4PYYJG3,rented,985,2026-02-12,1500.00,SO-002957,2957,985,maharashtra,DC-002950,2026-02-12,RDC000240,2026-02-19
TTSPL6633,2DK5QG3,rented,985,2026-02-12,1500.00,SO-002957,2957,985,maharashtra,DC-002950,2026-02-12,RDC000242,2026-02-19
TTSPL6626,FKF2QG3,rented,985,2026-02-12,1500.00,SO-002957,2957,985,maharashtra,DC-002950,2026-02-12,RDC000237,2026-02-19
TTSPL6662,FDTM763,rented,985,2026-02-25,1500.00,,,,,,,,
TTSPL6726,G543C63,rented,985,2026-02-25,1500.00,SO-003127,3127,985,maharashtra,DC-003097,2026-02-25,,
TTSPL6244,3KFNS93,rented,985,2026-03-11,1500.00,SO-003184,3184,985,maharashtra,DC-003150,2026-03-11,,
TTSPL6456,8Q33C63,rented,985,2026-02-27,1500.00,SO-003156,3156,985,maharashtra,DC-003125,2026-02-27,,
TTSPL6494,HLN6V93,rented,985,2026-02-27,1500.00,SO-003156,3156,985,maharashtra,DC-003125,2026-02-27,,
TTSPL6545,GGP5V93,rented,985,2026-02-27,1500.00,SO-003156,3156,985,maharashtra,DC-003125,2026-02-27,,
TTSPL6506,87QS103,rented,985,2026-02-27,1500.00,SO-003156,3156,985,maharashtra,DC-003125,2026-02-27,,
TTSPL6159,PF31SJMM,rented,985,2026-02-27,1500.00,SO-003156,3162,985,maharashtra,DC-003125,2026-02-27,,
TTSPL6903,PF1VL73L,rented,985,2026-02-27,1500.00,SO-003156,3162,985,maharashtra,DC-003125,2026-02-27,,
TTSPL6912,PF254LPC,rented,985,2026-02-27,1500.00,SO-003156,3162,985,maharashtra,DC-003125,2026-02-27,,
TTSPL4187,GSGF0B3,rented,985,2026-04-04,1500.00,SO-003556,3557,985,maharashtra,DC-003476,2026-04-04,RDC000311,2026-02-21
TTSPL6054,DYR1T93,rented,985,2026-04-04,1500.00,SO-003556,3556,985,maharashtra,DC-003476,2026-04-04,RDC000585,2026-03-26
TTSPL3006,5SLCS73,rented,985,2026-04-04,1500.00,SO-003558,3558,985,maharashtra,DC-003478,2026-04-04,RDC000599,2026-03-27
TTSPL3101,16TJX53,rented,985,2026-04-04,1500.00,SO-003558,3558,985,maharashtra,DC-003478,2026-04-04,RDC000598,2026-03-27
