TTSPL,Serial,Status,Shipping State,Shipping City,From Entity,To Entity,Master Entity,SO,DC,Changed,To Customer ID,To Customer Name
TTSPL2987,58JVCB3,rented,uttar_pradesh,,HR,HR,HR,SO/26-27/0833,DC/26-27/0807,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL3006,5SLCS73,rented,maharashtra,,HR,MH,HR,SO-003558,DC-003478,YES,985,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(MH)
TTSPL3008,JRDXL63,rented,karnataka,,HR,KA,HR,SO-003454,DC-003394,YES,986,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(KA)
TTSPL3038,B0DW373,rented,karnataka,,HR,KA,HR,SO-003478,DC-003415,YES,986,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(KA)
TTSPL3101,16TJX53,rented,maharashtra,,HR,MH,HR,SO-003558,DC-003478,YES,985,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(MH)
TTSPL3784,F13JDB3,rented,karnataka,,HR,KA,HR,SO-003454,DC-003394,YES,986,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(KA)
TTSPL3787,7QJHDB3,rented,karnataka,,HR,KA,HR,SO-003478,DC-003415,YES,986,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(KA)
TTSPL3798,867P693,rented,karnataka,,HR,KA,HR,SO-003454,DC-003394,YES,986,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(KA)
TTSPL4187,GSGF0B3,rented,maharashtra,,HR,MH,HR,SO-003556,DC-003476,YES,985,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(MH)
TTSPL4704,PF31MKPA,rented,haryana,,HR,HR,HR,SO-003169,DC-003137,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL5160,PF1TAY1C,rented,haryana,,HR,HR,HR,SO-003156,DC-003125,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6011,4JP1T93,rented,haryana,,HR,HR,HR,SO-003075,DC-003054,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6054,DYR1T93,rented,maharashtra,,HR,MH,HR,SO-003556,DC-003476,YES,985,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(MH)
TTSPL6115,PF22M76P,rented,haryana,,HR,HR,HR,SO-003110,DC-003080,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6159,PF31SJMM,rented,haryana,,HR,HR,HR,SO-003156,DC-003125,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6210,51P5V93,rented,maharashtra,,HR,MH,HR,SO-003916,DC-003810,YES,985,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(MH)
TTSPL6235,8C63C63,rented,haryana,,HR,HR,HR,SO-002956,DC-002949,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6239,F3Q5V93,rented,haryana,,HR,HR,HR,SO-003156,DC-003125,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6244,3KFNS93,rented,haryana,,HR,HR,HR,SO-003184,DC-003150,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6262,4FQM763,rented,haryana,,HR,HR,HR,SO-003144,DC-003113,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6271,F3QM763,rented,maharashtra,,HR,MH,HR,SO-003916,DC-003810,YES,985,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(MH)
TTSPL6286,DDQ1T93,rented,haryana,,HR,HR,HR,SO-003144,DC-003113,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
