TTSPL,Serial,InventoryStatus,CurrentCustomerId,RentStart,MonthlyRate,SO,SOLineId,SOCustomerId,SOSupplyState,OutboundDC,OutboundDelivered,ReturnDC,ReturnDelivered
TTSPL6290,FY73C63,rented,987,2026-02-20,1500.00,SO-002981,2981,987,telangana,DC-002972,2026-02-20,,
TTSPL6781,BG0BW93,rented,987,2026-04-29,1500.00,SO-003916,3916,987,telangana,DC-003810,2026-04-29,,
TTSPL6448,79RM763,rented,987,2026-02-20,1500.00,SO-002981,2981,987,telangana,DC-002972,2026-02-20,,
TTSPL6210,51P5V93,rented,987,2026-04-29,1500.00,SO-003916,3916,987,telangana,DC-003810,2026-04-29,,
TTSPL6332,JS88D63,rented,987,2026-02-23,1500.00,SO-003075,3075,987,telangana,DC-003054,2026-02-23,,
TTSPL6462,4H0BW93,rented,987,2026-02-23,1500.00,SO-003075,3075,987,telangana,DC-003054,2026-02-23,,
TTSPL6294,FXT3C63,rented,987,2026-02-23,1500.00,SO-003075,3075,987,telangana,DC-003054,2026-02-23,,
TTSPL6549,JRSS103,rented,987,2026-02-23,1500.00,SO-003075,3075,987,telangana,DC-003054,2026-02-23,,
TTSPL6732,DY23C63,rented,987,2026-02-23,1500.00,SO-003075,3075,987,telangana,DC-003054,2026-02-23,,
TTSPL6011,4JP1T93,rented,987,2026-02-23,1500.00,SO-003075,3075,987,telangana,DC-003054,2026-02-23,,
TTSPL6541,J90BW93,rented,987,2026-02-23,1500.00,SO-003075,3075,987,telangana,DC-003054,2026-02-23,RDC000263,2026-02-20
TTSPL6327,6B0BW93,rented,987,2026-02-24,1500.00,SO-003110,3111,987,telangana,DC-003080,2026-02-24,,
