TTSPL ID,Serial Number,Status,Customer ID,Customer Name,DC Number,Entity,Brand,Model,Processor,Generation,RAM,Storage,GPU,Screen Size,Monthly Rate (ex GST),SO Rate (ex GST),Sales Order,Rent Start,Dispatched,Delivered,PO Number,PO Type
G-COTRUE1071,FYQXD02,out_stock,,,,,Dell,Dell Latitude E7240,I5,4TH,4,256 SSD,Intel UHD Graphics,14-inch,,8474.00,SO/26-27/0585,,,,PO-0013,direct_purchase
TTSPL1107,94HGF72,out_stock,,,,,Dell,Dell Latitude E7250,I5,5TH,8,256 SSD,Intel UHD Graphics,13.3-inch,,8898.00,SO-003475,,,,PO-0003,direct_purchase
TTSPL1257,JTCDSJ2,out_stock,,,,,Dell,Dell Latitude 3480,I3,6th,8,240 SSD,Intel UHD Graphics,14-inch,,11000.00,SO/26-27/0551,,,,PO-0001,direct_purchase
TTSPL1321,5CG4475K8J,out_stock,,,,,Dell,HP Elitebook 840 G1,I7,4TH,8,256 SSD,Intel UHD Graphics,14-inch,,12000.00,SO-003560,,,,PO-0013,direct_purchase
TTSPL1528,790KQ12,out_stock,,,,,Dell,Dell Latitude E7240,I5,4TH,8,256 SSD,Intel UHD Graphics,14-inch,,8475.00,SO-003502,,,,PO-0013,direct_purchase
TTSPL1622,75S5T72,out_stock,,,,,Dell,Dell Latitude E7250,I5,5TH,8,256 SSD,Intel UHD Graphics,14-inch,,8898.00,SO-003475,,,,PO-0013,direct_purchase
TTSPL1658,PC01WC4J,out_stock,,,,,Dell,Lenovo Thinkpad T440,I5,4TH,8,256 SSD,Intel UHD Graphics,14-inch,,8899.00,SO/26-27/0439,,,,PO-0013,direct_purchase
TTSPL1786,5CG70100YT,out_stock,,,,,Dell,HP Elitebook 820 G3,I5,6TH,8,256 SSD,Intel UHD Graphics,14-inch,,3604.00,SO-003651,,,,PO-0002,direct_purchase
TTSPL1873,5CG5031XCW,out_stock,,,,,Dell,HP Elitebook 840 G1,I5,4TH,8,256 SSD,Intel UHD Graphics,14-inch,,11000.00,SO/26-27/0551,,,,PO-0001,direct_purchase
TTSPL1889,5CG44562JB,out_stock,,,,,HP,HP Elitebook 840 G1,I7,4TH,8GB,256GB SSD,Intel UHD Graphics,14-inch,,12000.00,SO-003560,,,,PO-0077,direct_purchase
