issue_type,why_category,why_detail,serial_id,ttspl_id,ups,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,rent_start_date,rent_billed_until,dispatch_mode,current_dc_number,serial_dispatched_at_ist,serial_delivered_at_ist,matched_dc_number,matched_dc_status,matched_dc_dispatched_at_ist,matched_dc_delivered_at_ist,sales_order_number,is_replaced,action_remark,came_from,suggested_rent_start,billing_impact,updated_at
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,341,TTSPL4209,TTSPL4209,BMM57Y2,130,Aim Plus Staffing Solutions,rented,Dell,Dell Latitude 5400,1100.00,,,,,,,DC-000457,delivered,,2026-02-06,SO-000457,0,This product returned from customer,130,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 24 2026 19:37:13 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,2673,TTSPL6600,TTSPL6600,8GPYCL3,183,BIODEAL PHARMACEUTICALS LIMITED,rented,Dell,Dell Latitude 3420,1500.00,,,,,,,DC-002724,delivered,,2026-02-06,SO-002724,0,This product Pickuped from customer,183,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,1977,TTSPL6739,TTSPL6739,97080J3,183,BIODEAL PHARMACEUTICALS LIMITED,rented,Dell,Dell Latitude 7420,1500.00,,,,,,,DC-002732,delivered,,2026-02-06,SO-002732,0,This product Pickuped from customer,183,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null|no_delivery_challan_matched,3345,TTSPL6573,TTSPL6573,PC1X7F4D,143,BRAINBOX NETWORK,rented,Dell,Lenovo Thinkpad T14s,1750.00,,,,,,2026-07-17,,,,,,0,,,2026-07-17,SKIPPED on invoice generate until rent_start_date is set,Mon Jul 27 2026 10:45:09 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,2625,TTSPL5700,TTSPL5700,CWRD2B3,131,Beom Commerce Private Limited,rented,Dell,Dell Latitude 3420,1525.00,,,,,,,DC-003247,delivered,,2026-03-07,SO-003295,0,This product Pickuped from customer,219,2026-03-07,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,3446,TTSPL6631,TTSPL6631,BHRD2B3,203,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,Dell,Dell Latitude 3420,2099.00,,,,,,,,,,,,0,This product returned from customer,214,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,3846,TTSPL7187,TTSPL7187,R913EBJQ,203,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,Lenovo,Lenovo Thinkpad L13,2099.00,,,,,,,DC/26-27/0771,delivered,,2026-06-24,SO/26-27/0771,0,This product returned from customer,283,2026-06-24,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,1045,TTSPL3735,TTSPL3735,6X361F3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5420,2699.00,,,,,,,,,,,,0,This product Pickuped from customer,108,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,1300,TTSPL4291,TTSPL4291,51F7S93,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5320,2699.00,,,,,,,,,,,,0,This product Pickuped from customer,110,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,290,TTSPL4320,TTSPL4320,FWJW8G3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5320,2699.00,,,,,,,,,,,,0,This product Pickuped from customer,101,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
