serial_id,ttspl_id,ups,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,rent_start_date,serial_delivered_at_ist,matched_dc_number,matched_dc_status,matched_dc_delivered_at_ist,matched_dc_dispatched_at_ist,best_delivery_date,days_rent_start_minus_delivery,rent_billed_until,current_dc_number,sales_order_number,is_replaced,action_remark,issue_type,why,billing_impact,updated_at
914,TTSPL6824,TTSPL6824,5CG2133K2N,41,SLEEP MANAGEMENT PRIVATE LIMITED(New),rented,Dell,HP Elitebook 840 G8,1999.00,2026-04-29,2026-04-29,DC-003813,delivered,2025-09-22,2025-09-22,2025-09-22,219,2026-06-30,DC-003813,SO-003919,0,This product Pickuped from customer,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_dc_delivered_at|dc_delivered_and_serial_delivered_disagree,CRM bills from later date (2026-04-29); underbills 219 day(s) vs delivery 2025-09-22,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
443,TTSPL3172,TTSPL3172,FVFG6CSRQ05D,106,RHOPHI ANALYTICS LLP (Punjab),rented,Dell,Apple Macbook Pro,4500.00,2026-08-01,,DC-000625,delivered,2026-02-06,,2026-02-06,176,2026-08-31,,SO-000625,0,This product Pickuped from customer,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_dc_delivered_at,CRM bills from later date (2026-08-01); underbills 176 day(s) vs delivery 2026-02-06,Mon Aug 03 2026 14:23:42 GMT+0000 (Coordinated Universal Time)
637,G-COTRUE1056,G-COTRUE1056,3WST812,966,Leverage Edu,rented,Dell,Dell Laptop Latitude E3340,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000886,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
629,YASHTRUE1445,YASHTRUE1445,CNBLVD2,966,Leverage Edu,rented,Dell,Dell Latitude E5470,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000878,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
636,TRU115,TRU115,2XQN542,966,Leverage Edu,rented,Dell,Dell Latitude E7250,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000885,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
633,FIRMTRUE1569,FIRMTRUE1569,4BZ8CG2,966,Leverage Edu,rented,Dell,Dell Latitude E5470,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000882,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
635,TTSPL1979,TTSPL1979,5CG5151654,966,Leverage Edu,rented,Dell,HP Elitebook 840 G1,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000884,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
639,TTSPL1982,TTSPL1982,FH8K542,966,Leverage Edu,rented,Dell,Dell Latitude E7240,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000888,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
628,YASHTRUE1417,YASHTRUE1417,23F7VD2,966,Leverage Edu,rented,Dell,Dell Latitude E5470,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000877,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
634,TTSPL1865,YASHTRUE1416/TTSPL1865,76D7VD2,966,Leverage Edu,rented,Dell,Dell Latitude E5470,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000883,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
642,TTSPL2918,TTSPL2918,1K96QH2,966,Leverage Edu,rented,Dell,Dell Latitude 7480,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000891,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
630,YASHTRUE1464,YASHTRUE1464,566PFH2,966,Leverage Edu,rented,Dell,Dell Latitude E5480,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000879,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
631,YASHTRUE1482,YASHTRUE1482,7PMTNH2,966,Leverage Edu,rented,Dell,Dell Latitude E5480,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000880,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
627,1472,1472,PC0151G3,966,Leverage Edu,rented,Dell,Lenovo Laptop Thinkpad T440,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000876,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
638,RABYTRUE1538,RABYTRUE1538,6LPWH82,966,Leverage Edu,rented,Dell,Dell Latitude E7440,1910.00,2026-02-06,2026-07-18,,,,,2026-07-18,-162,2026-06-30,DC-000887,,0,,RENT_START_VS_DELIVERY_MISMATCH,rent_start_differs_from_serial_delivered_at,CRM bills from earlier date (2026-02-06); overbills 162 day(s) vs delivery 2026-07-18,Mon Aug 03 2026 12:58:28 GMT+0000 (Coordinated Universal Time)
