issue_type,serial_id,ttspl_id,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,rent_start_date,serial_delivered_at_ist,matched_dc_number,matched_dc_delivered_at_ist,best_delivery_date,days_rent_start_minus_delivery,suggested_rent_start,why,billing_impact,current_dc_number
RENT_START_NULL,341,TTSPL4209,BMM57Y2,130,Aim Plus Staffing Solutions,rented,Dell,Dell Latitude 5400,1100.00,,,DC-000457,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2673,TTSPL6600,8GPYCL3,183,BIODEAL PHARMACEUTICALS LIMITED,rented,Dell,Dell Latitude 3420,1500.00,,,DC-002724,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1977,TTSPL6739,97080J3,183,BIODEAL PHARMACEUTICALS LIMITED,rented,Dell,Dell Latitude 7420,1500.00,,,DC-002732,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,3345,TTSPL6573,PC1X7F4D,143,BRAINBOX NETWORK,rented,Dell,Lenovo Thinkpad T14s,1750.00,,2026-07-17,DC/26-27/0395,2026-05-19,2026-05-19,,2026-05-19,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2625,TTSPL5700,CWRD2B3,131,Beom Commerce Private Limited,rented,Dell,Dell Latitude 3420,1525.00,,,DC-003247,2026-03-07,2026-03-07,,2026-03-07,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,3446,TTSPL6631,BHRD2B3,203,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,Dell,Dell Latitude 3420,2099.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,3846,TTSPL7187,R913EBJQ,203,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,Lenovo,Lenovo Thinkpad L13,2099.00,,,DC/26-27/0772,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1045,TTSPL3735,6X361F3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5420,2699.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1300,TTSPL4291,51F7S93,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5320,2699.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,290,TTSPL4320,FWJW8G3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5320,2699.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,3176,TTSPL4334,PF2R3K9K,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Lenovo Thinkpad T14,2199.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,52,TTSPL4616,CW0K8C3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5420 (Touch Screen),2699.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
