serial_id,ttspl_id,ups,serial_number,customer_id,customer_name,inventory_status,rent_start_date,rental_start_date_legacy,rent_end_date,rent_billed_until,rent_monthly_rate,brand,model,current_dc_number,dispatched_at_ist,delivered_at_ist,returned_at_ist,is_replaced,is_repaired,action_status,action_remark,came_from,issue_type,why,billing_impact,updated_at
341,TTSPL4209,TTSPL4209,BMM57Y2,130,Aim Plus Staffing Solutions,rented,,,,,1100.00,Dell,Dell Latitude 5400,,,,,0,0,return,This product returned from customer,130,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-24 19:37:13.667328+00
2673,TTSPL6600,TTSPL6600,8GPYCL3,183,BIODEAL PHARMACEUTICALS LIMITED,rented,,2027-02-07,,,1500.00,Dell,Dell Latitude 3420,,,,,0,0,pickuped,This product Pickuped from customer,183,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
1977,TTSPL6739,TTSPL6739,97080J3,183,BIODEAL PHARMACEUTICALS LIMITED,rented,,,,,1500.00,Dell,Dell Latitude 7420,,,,,0,0,pickuped,This product Pickuped from customer,183,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
3345,TTSPL6573,TTSPL6573,PC1X7F4D,143,BRAINBOX NETWORK,rented,,2027-02-07,,,1750.00,Dell,Lenovo Thinkpad T14s,,,2026-07-17,,0,0,,,,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-27 10:45:09.36969+00
2625,TTSPL5700,TTSPL5700,CWRD2B3,131,Beom Commerce Private Limited,rented,,2027-02-07,,,1525.00,Dell,Dell Latitude 3420,,,,,0,0,pickuped,This product Pickuped from customer,219,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
3446,TTSPL6631,TTSPL6631,BHRD2B3,203,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,,2027-02-07,,,2099.00,Dell,Dell Latitude 3420,,,,,0,0,return,This product returned from customer,214,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
3846,TTSPL7187,TTSPL7187,R913EBJQ,203,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,,,,,2099.00,Lenovo,Lenovo Thinkpad L13,,,,,0,0,return,This product returned from customer,283,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
1045,TTSPL3735,TTSPL3735,6X361F3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,,,,,2699.00,Dell,Dell Latitude 5420,,,,,0,0,pickuped,This product Pickuped from customer,108,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
1300,TTSPL4291,TTSPL4291,51F7S93,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,,,,,2699.00,Dell,Dell Latitude 5320,,,,,0,0,pickuped,This product Pickuped from customer,110,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
290,TTSPL4320,TTSPL4320,FWJW8G3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,,,,,2699.00,Dell,Dell Latitude 5320,,,,,0,0,pickuped,This product Pickuped from customer,101,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
3176,TTSPL4334,TTSPL4334,PF2R3K9K,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,,2027-02-07,,,2199.00,Dell,Lenovo Thinkpad T14,,,,,0,0,return,This product returned from customer,203,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
52,TTSPL4616,TTSPL4616,CW0K8C3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,,,,,2699.00,Dell,Dell Latitude 5420 (Touch Screen),,,,,0,0,pickuped,This product Pickuped from customer,200,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
1112,TTSPL4644,TTSPL4644,6HY8PQ3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,,,,,2699.00,Dell,Dell Latitude 5420 (Touch Screen),,,,,0,0,pickuped,This product Pickuped from customer,108,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
1114,TTSPL4798,TTSPL4798,BBR60J3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,,,,,2699.00,Dell,Dell Latitude 5420,,,,,0,0,pickuped,This product Pickuped from customer,108,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
849,TTSPL3703,TTSPL3703,C17HCD63Q6L4,252,Girish Srikrishna Paranjpe,rented,,,,,3800.00,Dell,Apple Macbook Air,,,,,0,0,return,This product returned from customer,48,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
2154,TTSPL4426,TTSPL4426,MXQP36HVXM,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,rented,,2027-02-07,,,5349.00,Dell,Apple Macbook Air,,,,,0,0,pickuped,This product Pickuped from customer,108,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
1107,TTSPL4637,TTSPL4637,G1VD4M3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,rented,,,,,3150.00,Dell,Dell Latitude 5420 (Touch Screen),,,,,0,0,pickuped,This product Pickuped from customer,108,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
34,TTSPL3567,TTSPL3567,PC1M8P31,26,Mercury Solutions Limited,rented,,,,,1699.00,Dell,Lenovo Thinkpad X-13,,,,,0,0,pickuped,This product Pickuped from customer,26,rent_start_null,no_delivered_at_and_no_dispatched_at_on_serial|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 19:36:41.061776+00
1894,TTSPL5129,TTSPL5129,PF55FX53,160,OLA,rented,,,,,1.00,Dell,Lenovo V14 (Gen 3),,,2026-07-18,,0,0,,,,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 20:36:15.115891+00
1895,TTSPL5603,TTSPL5603,PF33C7AF,160,OLA,rented,,,,,1.00,Dell,Lenovo Thinkpad E14,,,2026-07-18,,0,0,,,,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 20:36:15.187587+00
2589,TTSPL5833,TTSPL5833,F633JL3,160,OLA,rented,,2027-02-07,,,1.00,Dell,Dell Latitude 3420,,,2026-07-18,,0,0,,,,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 20:36:15.647506+00
1896,TTSPL5909,TTSPL5909,5CD1218T2M,160,OLA,rented,,,,,1.00,Dell,HP Probook 440 G8,,,2026-07-18,,0,0,,,,rent_start_null,has_delivered_at_but_rent_start_never_activated|no_current_dc_number,SKIPPED_ON_INVOICE_GENERATE,2026-07-17 20:36:15.205817+00
